"game_lang_code","context","EN","DE","FR","IT","ES","RU","JP","PB","CN"
"I'm not sure how you snuck by me before...","Mark the ant","I'm not sure how you snuck by me before...","Ich weiß nicht, warum ich dich bisher nicht bemerkt habe …","Bizarre, je ne t'ai pas vue passer...","Non so come hai fatto a intrufolarti senza che ti vedessi...","Ez dakit nola ez zaitudan lehenago ikusi...","Я и не заметила, как ты проскользнула мимо меня...","この間は いったい どうやって わたしの目を すりぬけたんだ……？","Não sei como conseguiu passar por mim sem que eu te visse…","我不知道你之前是怎么悄悄从我身边溜过去的……"
"But we appreciate the assist!","Mark the ant","But we appreciate the assist!","Aber wir wissen die Hilfe zu schätzen!","Peu importe, ton aide est la bienvenue !","Ad ogni modo, grazie dell'aiuto!","Baina asko eskertzen dizugu laguntzera etortzea!","Но хочу поблагодарить тебя за помощь!","いずれにせよ、力をかしてくれて かんしゃだ！","Mas agradecemos pela assistência!","但是我们很感谢你的帮助！"
"We've sent a team up ahead to work on that problem of yours.","Mark the ant","We've sent a team up ahead to work on that problem of yours.","Wir haben schon ein Team losgeschickt, um dein Problem zu lösen.","Nous avons envoyé une équipe pour régler ton petit problème.","Abbiamo già mandato una squadra a risolvere quel problema che hai avuto.","Talde bat bidali dugu gora, zure arazoarekin laguntzera.","Наша команда уже работает над твоей проблемой.","あんたの かだいに とりくむ チームも はけんしたよ。","Já enviamos uma equipe para resolver aquele seu problema.","我们已经派出一个团队去上面帮你解决问题了。"
"But don't be gone too long!","Mark the ant","But don't be gone too long!","Aber bleib nicht zu lange weg!","Mais ne pars pas trop longtemps !","Ma vedi di non sparire per troppo tempo!","Baina itzul zaitez luze gabe!","Ты главное не пропадай надолго!","だが、ちょいちょい顔を見せに来てくれよ！","Mas não demore muito!","但是别离开太久！"
"The colony still needs help finishing the Mech-Ant!","Mark the ant","The colony still needs help finishing the Mech-Ant!","Die Kolonie braucht noch Hilfe bei der Fertigstellung der Robomeise!","La colonie a toujours besoin de ton aide pour finir la fourmi-méca !","Alla colonia serve ancora aiuto per ultimare la Formecha!","Koloniak oraindik laguntza behar du Inurri Mekanikoa eraikitzeko!","Колонии муравьев все еще нужна помощь, чтобы закончить мехмура!","メカアントの しあげに まだ たすけが いるんだ！","A colônia ainda precisa de ajuda para finalizar a Formiga-mecânica!","蚁群还需要帮助来完成机械蚁呢！"
"Hey Comrade!","Mark the ant","Hey Comrade!","Hey, Genossin!","Salut, camarade !","Ehilà, compagna!","Ei, burkide!","Здорово, товарищ!","やあ、同志（どうし）よ！","Camarada!","你好，同志！"
"Don't be gone too long!","Mark the ant","Don't be gone too long!","Bleib nicht zu lange weg!","Ne pars pas trop longtemps !","Vedi di non sparire per troppo tempo!","Zatoz laster bueltan!","Возвращайся поскорее!","ちょいちょい顔を見せに来てくれよ！","Não demore muito!","别离开太久！"
"Oh dear!","Generic ant","Oh dear!","Oh weh!","Oh là là !","Oh, cielo!","Amatxo maitea!","Ну и ну!","ああ！","Caramba!","天呐！"
"That was quite the fall we had!","Generic ant","That was quite the fall we had!","Das war ein ganz schöner Sturz!","Nous avons fait une belle chute !","Che volo che abbiamo fatto!","Zer erorikoa hartu duguna!","Вот это падение!","ずいぶん ハデに おちたなあ！","Foi uma queda e tanto!","我们可真能掉的！"
"Things are a bit crazy around the nest right now.","Generic ant","Things are a bit crazy around the nest right now.","Im Nest geht es gerade ziemlich drunter und drüber.","Tout est sens dessus dessous en ce moment, à la fourmilière.","Al momento c'è parecchia agitazione qui nel formicaio.","Nahaste handia dago une honetan habia inguruan.","В муравейнике сейчас полный хаос.","この すは さいきん すごく いそがしいんだ。","As coisas andam meio doidas aqui no ninho.","现在蚁穴这里的情况还是有些失控。"
"We'd love you're help, if you're willing!","Generic ant","We'd love you're help, if you're willing!","Wir würden uns über deine Hilfe freuen, wenn du willst.","Ton aide nous serait vraiment précieuse, si tu es d'accord !","Se ci aiutassi, te ne saremmo riconoscenti!","Izugarri eskertuko dugu zure laguntza, hartarako prest bazaude!","Мы были бы очень признательны, если бы ты нам помогла!","もし気がむいたら てつだってくれると うれしいな！","Adoraríamos ter a sua ajuda, se estiver disposta!","如果你愿意的话，我们非常需要你的帮助！"
"Go see Comrade Carl in the Mech-Ant chamber.","Generic ant","Go see Comrade Carl in the Mech-Ant chamber.","Geh zu Genossin Carl in der Robomeisenkammer.","Va donc voir la camarade Carl dans le Labo de la fourmi-méca.","Incontra il compagno Carl nella sala della Formecha.","Zoaz Carl burkidearekin hitz egitera, Inurri Mekanikoaren ganberara.","Иди поговори с товарищем Карл в отделе «Мехмур».","メカアントのへやまで、同志（どうし）カールに会いにいくと いい。","Vá ver a camarada Carl na câmara da Formiga-mecânica.","去机械蚁巢室见见卡尔同志吧。"
"She'll know what to do.","Generic ant","She'll know what to do.","Sie wird wissen, was zu tun ist.","Elle saura quoi faire.","Saprà indicarti che cosa fare.","Berak esango dizu zer egin.","Она знает, что делать.","かのじょが しじを くれるはずだ。","Ela saberá o que fazer.","她知道该做什么。"
"Talk to Comrade Carl in the Mech-Ant chamber.","Generic ant","Talk to Comrade Carl in the Mech-Ant chamber.","Sprich mit Genossin Carl in der Robomeisenkammer.","Parle à la camarade Carl dans le Labo de la fourmi-méca.","Parla con il compagno Carl nella sala della Formecha.","Hitz egin Carl burkidearekin, Inurri Mekanikoaren ganberan.","Поговори с товарищем Карл в отделе «Мехмур».","メカアントのへやで、同志（どうし）カールに声をかけると いい。","Fale com a camarada Carl na câmara da Formiga-mecânica.","去机械蚁巢室跟卡尔同志谈谈。"
"Ouch!","Generic ant","Ouch!","Autsch!","Ouille !","Ahi!","Atx!","Ай!","いたっ！","Ai!","嗷，疼！"
"This mudslide is getting dangerous!","Generic ant","This mudslide is getting dangerous!","Dieser Erdrutsch wird gefährlich.","Cette coulée de boue est de plus en plus dangereuse !","Accidenti a questa colata di fango!","Lur-jausi hau gero eta arriskutsuagoa da!","Оползень становится опасным!","この どしゃくずれは かなり きけんだぞ！","O deslizamento de terra tá ficando perigoso!","这些泥流开始变得危险了！"
"I was trying to repair this power station to open up access to the pumps.","Generic ant","I was trying to repair this power station to open up access to the pumps.","Ich habe versucht, dieses Kraftwerk zu reparieren, um die Pumpen zu erreichen.","J'essayais de réparer cette station pour ouvrir l'accès aux pompes.","Stavo cercando di riparare questo impianto per aprire l'accesso alle pompe.","Argindar-estazioa konpondu nahian nenbilen, ponpetara sarbidea irekitzeko.","Я пыталась починить электростанцию, чтобы запустить насосы.","ポンプに つかうために どうりょくげんを なおそうと してたんだ。","Tava tentando consertar essa central elétrica pra liberar o acesso às bombas.","我想修好这个动力站，打开去泵区的通道。"
"But I slipped and fell!","Generic ant","But I slipped and fell!","Aber ich bin ausgerutscht und gefallen!","Mais j'ai glissé et je suis tombée !","Ma sono scivolato e caduto!","Baina irristatu eta beheraino erori naiz!","Но поскользнулась и упала!","でも 足をすべらせて おちちゃった！","Mas eu escorreguei e caí!","但是我一直滑倒！"
"Could you lend me a mandible?","Generic ant","Could you lend me a mandible?","Würdest du mir eine Mandibel leihen?","Tu pourrais me filer un coup de patte ?","Mi daresti una man... dibola?","Baraila bat ematerik bai?","Можешь подать мне жвалу?","ちょっと あごを かしてくれないか？","Pode me dar uma mandíbula?","你能助我一颚之力吗？"
"Think you could give me a lift out of this ditch?","Generic ant","Think you could give me a lift out of this ditch?","Meinst du, du könntest mir aus dem Graben helfen?","Tu crois que tu pourrais m'aider à ressortir de ce ravin ?","Mi aiuteresti a uscire da questa buca?","Atera nazakezu zanga honetatik?","Попробуешь вытащить меня из этой ямы?","この みぞから ひっぱりあげて くれるかい？","Será que consegue me tirar dessa vala?","你能把我从这个沟里拉出去吗？"
"Thanks for helping me out!","Generic ant","Thanks for helping me out!","Vielen Dank für deine Hilfe!","Merci pour ton aide !","Grazie dell'aiuto!","Milesker laguntzagatik!","Спасибо тебе за помощь!","たすけてくれて ありがとう！","Valeu pela ajuda!","谢谢你帮助我！"
"You're a true friend.","Generic ant","You're a true friend.","Du bist eine gute Freundin.","T'es une véritable amie.","Sei una vera amica.","Benetako laguna zara.","Ты настоящий друг.","きみは本当の友だちだ。","Isso que é amiga de verdade.","你是个真正的朋友。"
"Now I just need to find a way to fix this gearbox...","Generic ant","Now I just need to find a way to fix this gearbox...","Jetzt muss ich nur dieses Getriebe irgendwie reparieren …","Bon, il ne me reste plus qu'à trouver un moyen de réparer cette boîte de vitesses...","Adesso devo solo capire come riparare questa trasmissione...","Orain engranaje-kaxa hori konpontzeko modua bilatu behar dut...","Осталось только придумать, как починить этот редуктор...","あとは この はぐるまボックスを なんとかできれば……","Agora só preciso achar uma forma de consertar essa transmissão…","现在我只要想办法修好这个变速箱就可以了……"
"You here to help with the elevator?","Generic ant","You here to help with the elevator?","Bist du hier, um mit dem Aufzug zu helfen?","Tu es venue aider pour l'ascenseur ?","Sei qui per aiutarmi con l'ascensore?","Igogailuarekin laguntzera zatoz?","Ты пришла помочь с подъемником?","エレベーターしゅうりの てつだいに 来てくれたのかい？","Tá aqui pra ajudar com o elevador?","你是来这里帮忙修升降机的吗？"
"It's been broken down since the attack, but I can't reach the part we need to fix it.","Generic ant","It's been broken down since the attack, but I can't reach the part we need to fix it.","Der ist seit dem Überfall kaputt, aber ich komm nicht an das Teil ran, das repariert werden muss.","Il est cassé depuis la dernière attaque, mais je ne peux pas atteindre les pièces nécessaires pour le réparer.","Si è rotto durante l'incursione e non riesco a prendere il pezzo che serve per ripararlo.","Erasoalditik ez du funtzionatzen, eta ezin dut konpondu ahal izateko beharrezko pieza eskuratu.","Его сломали во время вторжения. Мне не достать деталь, которая нужна, чтобы его починить.","ヒアリの こうげきで こわされてしまったんだ。でも しゅうりにつかう ぶひんに、足が とどかないんだ。","Ele tá quebrado desde o ataque, e eu não consigo alcançar a peça necessária pra consertá-lo.","自从遭受攻击后它就坏了，但是我到不了需要修理的地方。"
"If you can get me the brass cog from the other side of this chamber","Generic ant","If you can get me the brass cog from the other side of this chamber","Bring mir das Zahnrad von der anderen Seite dieser Kammer,","Si tu réussis à récupérer le rouage en cuivre à l'autre bout de cette pièce,","Se riesci a recuperare l'ingranaggio dall'altro lato della sala,","Ganbararen beste aldean dagoen letoizko engranajea ekartzen badidazu...","Если тебе удастся добраться до медной шестеренки на другом конце камеры,","このへやの はんたいがわから どうのはぐるま を とってきてくれたら","Se puder pegar pra mim a engrenagem de latão do outro lado da câmara,","你要是能去巢室的另一边帮我把黄铜齿轮拿过来就好了"
"we should be able to get it running.","Generic ant","we should be able to get it running.","dann sollte er wieder funktionieren.","on devrait pouvoir le faire fonctionner.","dovrei poterlo rimettere in funzione.","...berriro martxan jarri ahalko dugu.","мы сможем починить подъемник.","エレベーターを もういちど うごかせるはずなんだ。","vamos poder consertá-lo.","我们应该能让它运转起来。"
"Without that elevator, we're stuck up here.","Generic ant","Without that elevator, we're stuck up here.","Ohne Aufzug stecken wir hier oben fest.","Sans cet ascenseur, nous sommes coincées ici.","Senza quell'ascensore siamo bloccati quassù.","Igogailurik gabe, hemen goian harrapaturik gaude.","Без него нам отсюда не выбраться.","エレベーターが うごかないと この下には 行けない。","Sem aquele elevador, estamos presas aqui.","没有升降机，我们就被困在这里了。"
"Fix the elevator with a brass cog","Generic ant","Fix the elevator with a brass cog","Repariere den Aufzug mit einem Zahnrad","Répare l'ascenseur avec un rouage en cuivre","Ripara l'ascensore con un ingranaggio","Konpondu igogailua letoizko engranajearekin","Починить подъемник с помощью медной шестеренки","どうのはぐるま で エレベーターを直す","Conserte o elevador com a engrenagem de latão","用一个黄铜齿轮修好升降机"
"There's no way down from here without that elevator.","Generic ant","There's no way down from here without that elevator.","Von hier kommt man nur mit diesem Aufzug runter.","On n'a aucun moyen de descendre d'ici sans cet ascenseur.","Da qui non si può scendere senza quell'ascensore.","Ez dago behera jaisteko modurik igogailurik gabe.","Без подъемника нам не спуститься вниз.","エレベーターが うごかないかぎり この下には行けないんだ。","Não tem como descer daqui sem aquele elevador.","没有升降机，就没办法从这里下去。"
"Thanks Comrade. I'll deliver the cog back to the main shaft.","Generic ant","Thanks Comrade. I'll deliver the cog back to the main shaft.","Danke, Genossin. Ich bringe das Zahnrad zurück zum Hauptschacht.","Merci, camarade. Je vais apporter le rouage au conduit principal.","Grazie, compagna. Ora devo solo rimettere l'ingranaggio al suo posto.","Eskerrik asko, burkide. Engranajea berriro ardatz nagusira eramango dut.","Спасибо, товарищ. Я отнесу шестеренку в главную шахту.","同志（どうし）よ、ありがとう。はぐるまは わたしが メインシャフトに もどしておく。","Valeu, camarada. Vou colocar a engrenagem de volta no eixo.","谢谢你，同志。我会把齿轮送回主竖井。"
"Just pop it into the gearbox and we should be good.","Generic ant","Just pop it into the gearbox and we should be good.","Einfach rein ins Getriebe, das sollte reichen.","Place-le simplement dans la boîte de vitesses et ça devrait marcher.","Inseriscilo nella trasmissione e dovremmo essere a posto.","Hartu eta koka ezazu engranaje-kaxan, eta funtzionatu beharko luke.","Просто вставь ее в коробку передач, и все заработает.","はぐるまボックスに入れておいてくれ。","É só encaixar ela na caixa de transmissão e partir pro abraço.","把它装到变速箱上应该就可以了。"
"Thanks again for fixing the elevator!","Generic ant","Thanks again for fixing the elevator!","Danke noch mal, dass du den Aufzug repariert hast!","Merci encore d'avoir réparé l'ascenseur !","Grazie ancora per aver riparato l'ascensore!","Milesker berriro igogailua konpontzeagatik!","Спасибо тебе еще раз за починку подъемника!","あらためて エレベーターを直してくれて ありがとう！","Valeu por ajudar no conserto do elevador!","再次感谢你修好升降机！"
"Oh, you fixed the drawbridge already?","Generic ant","Oh, you fixed the drawbridge already?","Oh, du hast die Zugbrücke schon repariert?","Ah, tu as déjà réparé le pont-levis ?","Oh, hai già riparato il ponte mobile?","O, dagoeneko zubi altxagarria konpondu duzu?","О, ты уже починила подъемный мост?","はねばしを もう直したのかい？","Ah, já consertou a ponte levadiça?","哦，你已经把吊桥修好了？"
"Oh, thank goodness you're here!","Generic ant","Oh, thank goodness you're here!","Ein Glück, dass du hier bist!","Oh, dieu merci, tu es là !","Oh, grazie al cielo sei qui!","Oi, eskerrak laguntzera etorri zarela!","Ох, как хорошо, что ты здесь!","ああ！　きみが来てくれて本当に よかった！","Ah, ainda bem que chegou!","啊，谢天谢地你在这里！"
"The fire ants hit this place pretty hard.","Generic ant","The fire ants hit this place pretty hard.","Die Feuerameisen haben hier ganz schön gewütet.","Les fourmis rouges ont causé de vilains dégâts ici.","Le formiche rosse ci hanno inferto un duro colpo.","Suzko inurriek inguru hau guztiz suntsitu dute.","Огненные муравьи нанесли большой урон.","このあたりは ヒアリに たくさん こうげきされた。","As formigas-de-fogo fizeram um estrago aqui.","火蚁们把这里毁得很惨。"
"Luckily this drawbridge kept them out of the living quarters.","Generic ant","Luckily this drawbridge kept them out of the living quarters.","Zum Glück hat sie diese Zugbrücke vom Wohnbereich fern gehalten.","Heureusement, ce pont-levis les a empêchées de s'en prendre aux quartiers résidentiels.","Per fortuna il ponte mobile le ha tenute lontane dagli alloggi.","Zorionez, zubi altxagarri honi esker ezin izan dira bizitegira iritsi.","К счастью, этот подъемный мост не дал им пробраться в жилые помещения.","この はねばしが あったおかげで、生活エリアは ぶじだった。","Por sorte, essa ponte levadiça manteve elas longe dos aposentos.","幸运的是，这座吊桥把他们挡在了生活区外面。"
"But they damaged the control mechanism, and now I'm stuck on the wrong side.","Generic ant","But they damaged the control mechanism, and now I'm stuck on the wrong side.","Aber der Kontrollmechanismus wurde beschädigt und jetzt stecke ich auf der falschen Seite fest.","Mais elles ont endommagé le mécanisme de contrôle, et me voilà bloquée du mauvais côté.","Purtroppo hanno danneggiato il meccanismo, bloccandomi dal lato sbagliato.","Baina kontrol-mekanismoa hondatu dute, eta orain okerreko aldean harrapaturik nago.","Но они повредили панель управления, и теперь я застряла на этой стороне.","でも はしの せいぎょそうちを こわされた。そのせいで、わたしは ここから うごけなくなっちゃったんだ。","Mas elas danificaram o mecanismo de controle, e acabei ficando presa do lado errado.","但是他们毁掉了控制装置，所以我被困在这个地方了。"
"Could you help me repair it?","Generic ant","Could you help me repair it?","Hilfst du mir bei der Reparatur?","Tu peux m'aider à le réparer ?","Mi aiuteresti a ripararlo?","Konpontzen lagunduko didazu?","Сможешь помочь мне ее починить?","しゅうりを てつだってくれる？","Pode me ajudar a consertar o mecanismo?","你能帮我修好它吗？"
"Could you help me repair the drawbridge?","Generic ant","Could you help me repair the drawbridge?","Würdest du mir bei der Reparatur der Zugbrücke helfen?","Tu peux m'aider à réparer le pont-levis ?","Mi aiuteresti a riparare il ponte mobile?","Zubi altxagarria konpontzen lagunduko didazu?","Поможешь мне починить подъемный мост?","はねばしの しゅうりを てつだってくれる？","Pode me ajudar no reparo da ponte levadiça?","你能帮我修好这座吊桥吗？"
"Outstanding work!","Generic ant","Outstanding work!","Glänzende Arbeit!","Excellent travail !","Un lavoro formicabile!","Lan paregabea!","Ты молодец!","すばらしい！","Excelente trabalho!","干得漂亮！"
"Now that the rest of the colony can get through, we can start fixing this place up.","Generic ant","Now that the rest of the colony can get through, we can start fixing this place up.","Der Weg für den Rest der Kolonie ist frei und wir können hier alles in Ordnung bringen.","Maintenant que le reste de la colonie peut passer, nous allons pouvoir commencer à remettre cet endroit en état.","Ora che il resto della colonia può passare, finalmente possiamo dedicarci alle riparazioni.","Orain, koloniako beste kideak hemendik igaro daitezkenez, leku hau konpontzen has gaitezke.","Проход наконец-то восстановлен, и мы можем приняться за починку.","すの みんなが とおれるように なったぞ。これで このあたりも ふっこうできる。","Agora que o resto da colônia pode atravessar, podemos começar as restaurações.","这样蚁群的其他蚁就可以通过了，我们可以开始整修这里了。"
"G'day Comrade!","Generic ant","G'day Comrade!","Hey, Genossin!","Bien le bonjour, camarade !","Salve, compagna!","Egun on, burkide!","Доброго дня, товарищ!","やあ、同志（どうし）よ！","Dia, camarada!","你好，同志！"
"Everyone here is getting really thirsty from all the hard work they've been doing.","Generic ant","Everyone here is getting really thirsty from all the hard work they've been doing.","Die schwere Arbeit hat uns alle ganz schön durstig gemacht.","Tout le monde commence à avoir très soif avec tout ce labeur.","A furia di sgobbare, stiamo tutti morendo di sete.","Mundu guztia egarriz dago, egindako lan gogorraren ondorioz.","После такой тяжелой работы всех мучает жажда.","ここらのアリは みんな、いっしょうけんめい はたらいたから、のどが カラッカラなんだ。","Com todo esse trabalho, todo mundo aqui tá começando a ficar com sede.","大家在这里工作得很辛苦，都开始口渴了。"
"Do you think you could turn the water back on so we can have a drink?","Generic ant","Do you think you could turn the water back on so we can have a drink?","Meinst du, du kannst das Wasser wieder anstellen, damit wir was trinken können?","Pourrais-tu remettre l'eau en marche pour qu'on puisse boire un petit coup ?","Non è che riapriresti l'acqua, così possiamo farci una bevuta?","Saia zaitezke ur-emaria berrezartzen, tragoxka bat hartu ahal dezagun?","Как думаешь, ты сможешь включить воду, чтобы мы могли попить?","ポンプを しゅうりして、水を ながしてくれる？","Será que poderia reativar a bomba d'água para podermos matar a sede?","你能把水重新打开吗？这样我们就能喝水了。"
"Have you been down to the water pump yet?","Generic ant","Have you been down to the water pump yet?","Warst du schon unten bei der Wasserpumpe?","Tu as pu descendre à la pompe à eau ?","Sei già stata giù alla pompa dell'acqua?","Jaitsi zara ur-ponpara dagoeneko?","Ты уже была у водяного насоса?","きゅうすいポンプの ようすは見てくれた？","Já foi verificar a bomba d'água?","你下去过水泵那里吗？"
"Many thanks Comrade! The ants around these chambers are now comfortably hydrated!","Generic ant","Many thanks Comrade! The ants around these chambers are now comfortably hydrated!","Vielen Dank, Genossin. Die Ameisen in diesen Kammern sind jetzt angenehm hydriert.","Mille mercis, camarade ! Les fourmis des quartiers résidentiels pourront s'hydrater comme il faut !","Molte grazie, compagna! Tutte le formiche nei paraggi hanno potuto reidratarsi!","Milesker, burkide! Ganbera hauetako inurriak orain behar bezain hidrataturik daude!","Товарищ, спасибо тебе большое! Муравьи в этих камерах восстановили водный баланс!","ありがとう！　これで このあたりの アリたちも、しっかり水分ほきゅうが できる！","Muchas gracias, camarada! As formigas dessas câmaras agora estão devidamente hidratadas!","非常感谢你，同志！那些巢室里的蚂蚁都开心地喝上水了！"
"Oh, um, hello Comrade...","Nurse ant","Oh, um, hello Comrade...","Oh, äh, hallo, Genossin.","Oh, euh, bonjour camarade...","Oh, ehm... Salve, compagna...","O, zera, kaixo burkide...","О, привет, товарищ...","ああ。ごきげんよう、同志（どうし）よ……","Ah, hum, olá, camarada…","哦，呃，你好，同志……"
"I'm sorry if I seem distracted, its just...","Nurse ant","I'm sorry if I seem distracted, its just...","Tut mir leid, wenn ich verwirrt erscheine, aber …","Désolé si j'ai l'air distraite, c'est juste...","Scusa se sembro distratta, ma...","Barkatu distraitua banago, baina...","Извини, у меня тут проблема...","ぼんやりしてたら ごめんなさい。じつは……","Desculpe a minha distração. Acontece que…","抱歉啊，我可能看上去有点心烦意乱的，只是……"
"It appears that a few larvae have gone missing in the chaos.","Nurse ant","It appears that a few larvae have gone missing in the chaos.","In dem ganzen Chaos scheinen ein paar Larven verloren gegangen zu sein.","Il semblerait que quelques larves aient disparu dans tout ce chaos.","Pare che durante l'incursione siano sparite alcune larve.","Anabasa honetan larba gutxi batzuk galdu direla dirudi.","Кажется, в этой суматохе потерялось несколько личинок.","幼虫（ようちゅう）が なんびきか、ヒアリに おそわれて ゆくえふめいに なってしまったようで。","Algumas larvas desapareceram no meio de todo o caos.","在那场混乱中，有些幼虫好像失踪了。"
"The fire ants have spread us thin and we don't have the antpower to search for them.","Nurse ant","The fire ants have spread us thin and we don't have the antpower to search for them.","Die Feuerameisen haben uns zugesetzt und wir haben nicht genügend Ameisenkräfte, um sie zu suchen.","Les fourmis rouges nous ont dispersées et nous n'avons pas la main-d'œuvre nécessaire pour partir à leur recherche.","Le formiche rosse ci hanno quasi decimate e non c'è nessuno disponibile per cercarle.","Suzko inurriek gure kolonia urritu dute, eta ez daukagu larben bila joateko nahikoa kide.","Мы бросили все силы на устранение последствий набега огненных муравьев и не можем сейчас отправиться на их поиски.","わたしたちは ヒアリのひがいに たいおうするため バラバラになっています。アリ海せんじゅつを とろうにも、数がたりなくて。","As formigas-de-fogo nos separaram e no momento não podemos organizar um grupo de busca.","那些火蚁们给我们制造了了太多麻烦，我们已经没有蚁力去寻找他们了。"
"Would you keep an eye out for any that might be hidden about the nest?","Nurse ant","Would you keep an eye out for any that might be hidden about the nest?","Würdest du die Augen nach ihnen aufhalten? Ein paar von ihnen könnten im Nest versteckt sein.","Pourrais-tu jeter un œil à la fourmilière pour voir si des larves y sont cachées ?","Ti spiacerebbe dare un'occhiata in giro, per vedere se sono nascoste nel formicaio?","Baduzu inguruan begiratzerik, ea habian zehar gordetakoak aurkitzen dituzun?","Не поищешь потерявшихся личинок в муравейнике?","幼虫（ようちゅう）たちは、すの中に かくされているかも しれません。ちゅういして見てくれませんか？","Poderia ir atrás das larvas escondidas pelo ninho e trazê-las pra cá?","你能不能注意一下，看看他们有没有藏在蚁穴里？"
"Return the ant larvae to the nursury","Journal quest text","Return the ant larvae to the nursery","Bringe die Ameisenlarven in die Kinderstube","Ramener les larves de fourmis à la garderie","Riporta le larve di formica alla nursery","Bueltatu inurri-larbak kumetegira","Вернуть личинки муравьев в камеру для хранения кладки","アリの幼虫（ようちゅう）を ほいくしつに かえす","Devolva a larva de formiga ao berçário","把蚂蚁幼虫带回幼儿园"
"Oh you found some already?","Nurse ant","Oh you found some already?","Oh, du hast schon welche gefunden?","Oh, tu en as déjà trouvé ?","Oh, ne hai già trovate alcune?","O, dagoeneko aurkitu duzu larbarik?","О, ты уже нашла несколько личинок?","もう見つけてくれたのですか？","Ah, já encontrou algumas?","哦，你已经找到一些了？"
"That's excellent!","Nurse ant","That's excellent!","Das ist großartig!","Merveilleux !","Fantastico!","Bikain!","Замечательно!","すばらしい！","Excelente!","那可太好了！"
"Hello again Comrade.","Nurse ant","Hello again Comrade.","Ah, hallo, Genossin.","Re-bonjour, camarade.","Salve ancora, compagna.","Kaixo berriro, burkide.","И снова здравствуй, товарищ!","こんにちは、同志（どうし）よ。","Olá de novo, camarada.","又见面了，同志。"
"Have you found any of the missing larvae?","Nurse ant","Have you found any of the missing larvae?","Hast du schon einige der Larven gefunden?","As-tu trouvé les larves disparues ?","Hai trovato qualche larva scomparsa?","Aurkitu duzu galdutako larbarik?","Ты еще не нашла пропавших личинок?","ゆくえふめいの幼虫（ようちゅう）は見つかりましたか？","Encontrou mais alguma larva perdida?","你找到失踪的幼虫了吗？"
"Oh... well...","Nurse ant","Oh... well...","Oh, na ja …","Oh... quel dommage...","Oh... beh...","O... beno...","Печально...","ああ……そうですか……","Ah… que pena…","哦……好吧……"
"Oh thank you, Comrade!","Nurse ant","Oh thank you, Comrade!","Oh, danke, Genossin!","Merci beaucoup, camarade !","Oh, grazie, compagna!","O, milesker, burkide!","Спасибо тебе, товарищ!","ああ！　ありがとう、同志（どうし）！","Ah, muito obrigada, camarada!","哇，谢谢你，同志！"
"Unfortunately, there are still more out there.","Nurse ant","Unfortunately, there are still more out there.","Leider fehlen noch immer welche.","Malheureusement, il doit en rester d'autres.","Purtroppo, ne mancano ancora altre.","Zoritxarrez larba gehiago daude galduta.","К сожалению, это не все личинки.","でも ざんねんながら まだ ゆくえふめいの子たちが いるのです。","Infelizmente ainda há mais delas espalhadas por aí.","遗憾的是，外面还有一些。"
"Please keep looking. They could be anywhere.","Nurse ant","Please keep looking. They could be anywhere.","Bitte such weiter. Sie könnten überall sein.","Continue de chercher, elles peuvent être n'importe où.","Continua a cercarle, potrebbero essere ovunque.","Mesedez, jarraitu bila. Edonon egon litezke.","Пожалуйста, поищи еще. Они могут быть где угодно.","どうか さがしつづけてください。思いがけない ところに いるかも しれませんから。","Continue procurando. Elas podem estar em qualquer lugar.","拜托你继续寻找。他们可能藏在任何地方。"
"Those fire ants are pretty sneaky with their hidden chambers.","Nurse ant","Those fire ants are pretty sneaky with their hidden chambers.","Diese Feuerameisen mit ihren versteckten Kammern sind gerissen.","Les fourmis rouges sont très fourbes avec leurs salles secrètes.","Le formiche rosse scavano nascondigli dove meno te lo aspetti.","Suzko inurri horiek ezkutuko ganberatan zehar ibiltzen dira.","Огненные муравьи могли спрятать их в потайных камерах.","ヒアリたちは本当に うまく かくしべやを作っているのです。","As formigas-de-fogo costumam ser bem sorrateiras com suas câmaras secretas…","那些火蚁的隐藏巢室可是非常难找的。"
"Thats... That's all the larvae!","Nurse ant","Thats... That's all the larvae!","Das … Das sind alle Larven!","Elles... Elles sont toutes là !","Hai... Hai trovato tutte le larve!","Hau... hau da azken larba!","Это... все личинки!","ああ、これで……みんな帰ってきました！","Acho que… todas as larvas foram encontradas!","全……全部幼虫都在这里了！"
"Spectacular!","Nurse ant","Spectacular!","Glanzleistung!","Magnifique !","Spettacolare!","Sinestezina!","Великолепно!","なんと すばらしい！","Incrível!","太棒了！"
"We are so greatful for your help!","Nurse ant","We are so greatful for your help!","Wir sind so dankbar für deine Hilfe!","Nous te remercions beaucoup pour ton aide !","Non sai quanto ti siamo riconoscenti!","Biziki eskertzen dizugu emandako laguntza!","Мы так благодарны тебе за помощь!","本当に ありがとうございました！","Muito obrigada pela sua ajuda!","太感谢你的帮助了！"
