"game_lang_code","context","EU"
"I'm Vlad, your airship mechanic!","Vlad the ant","Vlad naiz, zure aireontziko mekanikaria!"
"We're almost ready for the trip of a lifetime!","Vlad the ant","Ia prest gaude gure biziko bidaiari ekiteko!"
"Here, take these blueprints. We've got lots to do!","Vlad the ant","Tori, hartu plano hauek. Asko dago egiteko!"
"Here's the rest of our preflight checklist:","Vlad the ant","Hau da hegaldia baino lehen egin beharrekoen zerrenda:"
" - Find a way to patch up the balloon.","Vlad the ant"," - Bilatu globoko zuloak konpontzeko eraren bat."
"I heard the bees to the East might be able to help with that.","Vlad the ant","Entzun dut Ekialdeko erleak lagungarri izan daitezkeela horretan."
" - Talk to the princess about sealing up the balloon.","Vlad the ant"," - Hitz egin printzesarekin, globo konpontzeko."
" - Find a fuel source. Some good, concentrated dung would work.","Vlad the ant"," - Bilatu erregai-iturri bat. Kalitatezko gorotz kontzentratuak balio beharko luke."
"See if you can find some to the West.","Vlad the ant","Begiratu ea Mendebaldean ezer aurkitzen duzun."
" - Attach engine immediately below the mouth of the balloon.","Vlad the ant"," - Erantsi motorra globoaren azpialdeko ahora."
" - Load a ball of dung into the engine.","Vlad the ant"," - Kargatu gorotz-bola bat motorrera."
" - Firmly secure pilot platform to balloon.","Vlad the ant"," - Lotu pilotatzeko plataforma gogorki globora."
"Just follow the blueprints, and come see me when it's all together.","Vlad the ant","Jarraitu planoetako argibideak, eta jakinaraz nazazu guztia lotuta egotean."
"Oh, and if you run into any trouble, just shoot the work bell and we'll reset everything for you!","Vlad the ant","O, eta arazorik baduzu, jo laneko kanpaia eta guztia lehengo egoerara bueltatuko dugu!"
"Looks like the airship is ready to launch!","Vlad the ant","Badirudi aireontzia aireratzeko prest dagoela!"
"Are you ready to head out? It might be a while before we can return.","Vlad the ant","Abiatzeko prest zaude? Denboraldi bat emango dugu kanpoan."
"No worries. Come see me again when you're ready.","Vlad the ant","Lasai. Zatoz nigana abiatzeko prest egotean."
"Alright Comrade.","Vlad the ant","Ados, burkide."
"Engine ignition in Three...","Vlad the ant","Aireratzeko Hiru..."
"Two...","Vlad the ant","Bi..."
"One!","Vlad the ant","Bat!"
"Huh... that launch didn't quite work as expected...","Vlad the ant","Hara... aireratze hau ez da espero bezala joan..."
"Maybe something wasn't tied up quite right?","Vlad the ant","Agian zerbait ez zegoen oso ondo lotua..."
"Don't worry! We can try again!","Vlad the ant","Ez arduratu! Berriro saia gaitezke!"
"Engine nominal, airspeed increasing!","Vlad the ant","Motorraren egoera: egokia, abiadura gehitzen!"
"This is it! We're flying!","Vlad the ant","Orain bai! Hegan gabiltza!"
"Woah! This storm was NOT on our forecast!","Vlad the ant","Uooa! Ekaitz hau EZ zegoen iragarria!"
"But the ship is still holding... barely...","Vlad the ant","Baina ontziak oraindik osorik dirau... kostata..."
"You stay safe, Comrade.","Vlad the ant","Zaindu, burkide."
"We'll keep the engine running for you.","Vlad the ant","Motorra martxan mantenduko dugu zuretzako."
"Sorry we're late, Comrade!","Vlad the ant","Barkatu, berandu gatoz, burkide!"
"Just picked up a little help on the way!","Vlad the ant","Bidean laguntza pixkat bildu dugu!"
"Hey neighbour!","Teen beetle","Ei, auzokide!"
"Mech-Ant 1 reporting for duty!","Generic soldier ant","01 Inurri Mekanikoa ekiteko prest!"
"This beast doesn't stand a chance!","Generic soldier ant","Piztia horrek ez du irabaziko!"
"We're coming in close now!","Vlad the ant","Gerturatzen ari gara!"
"You'll have to pull the Mech-Ant onto the bird's back with your webs!","Vlad the ant","Inurri Mekanikoa amaraunarekin txoriaren bizkarrera lotu beharko duzu!"
"Let's do this!","Vlad the ant","Ekin!"
"I'm in position, get clear!","Generic soldier ant","Posizioan nago, kendu paretik!"
"Detaching Mech-Ant...","Generic soldier ant","Inurri Mekanikoa desmuntatzen..."
"Now!","Generic soldier ant","Orain!"
"We did it! The beast is grounded!","Generic soldier ant","Lortu dugu! Piztia eraitsi dugu!"
"What should we do with him now, Comrade?","Generic soldier ant","Zer egingo dugu orain berekin, burkide?"
"We send him away!","Moth","Urrutira bidaliko dugu!"
"You hear me, bird?","Moth","Entzun, txoria?"
"You've burnt all your bridges here.","Moth","Amaitu da hemengo zure egonaldia."
"The bugs of this bush will not put up with you eating and kidnapping their friends!","Moth","Baso honetako zomorroek ez dute onartuko zuk beste inor jan edo bahitzerik!"
"And now we have the means to defend ourselves.","Moth","Eta orain badugu nola defendatu."
"You need to find a new land to call home.","Moth","Etxetzat hartzeko lur berri bat aurkitu beharko duzu."
"Maybe somewhere far away from here with more birds like you.","Moth","Agian hemendik urruti dagoen lurren bat, zu moduko txori gehiago daudena."
"Maybe somewhere you can finally find a friend...","Moth","Agian, azkenean, zuretzako lagun bat aurkitzeko moduko lekuren bat..."
"But you leave now!","Moth","Baina orain, ospa!"
"Before I change my mind...","Moth","Zoaz nik iritziz aldatu baino lehen..."
"Oh my... that was scary!","Moth","Ene... ikaragarria izan da!"
"I wasn't sure I'd be able to talk to him, but I did it!","Moth","Ez nuen uste berari hala hitz egiteko gai izango nintzenik, baina egin dut!"
"Thank you, buddy.","Moth","Milesker, laguntxo."
"And thank you too, buddy's boyfriend!","Moth","Eta milesker zuri ere, laguntxoaren mutil-lagun!"
"Your brave actions gave me the courage to finally stand up to that menace!","Moth","Zuen ekintza ausartek mehatxu horri aurre egiteko adorea eman didate!"
"Our home is a little bit safer today, thanks to you.","Moth","Gure etxea orain pixkat seguruagoa da, zuei esker."
"Work has been tough since the fire ants raided.","Generic ant","Gogor lan egin behar izan dugu suzko inurrien oldarralditik hona."
"Comrade Freddy is the oldest ant in the nest!","Generic ant","Freddy burkidea habiako inurririk zaharrena da!"
"She's an ANTique!","Generic ant","ANTZINurria da!"
"Gotta keep moving!","Generic ant","Ezin gelditu!"
"Have you seen the Mech-Ant?","Generic ant","Ikusi duzu Inurri Mekanikoa?"
"It's quite a marvel!","Generic ant","Zoragarria da!"
"G'day!","Generic ant","Iep!"
"Can't talk right now, sorry!","Generic ant","Orain ezin dut hitz egin, barkatu!"
"I don't like leaving the nest.","Generic ant","Ez zait gustatzen habiatik ateratzea."
"I'm not very independANT","Generic ant","HABIAzuloa naiz"
"Reporting for duty!","Generic soldier ant","Hemen nator, lanerako prest!"
"We're going to show those fire ants!","Generic soldier ant","Suzko inurri horiei eskarmentua emango diegu!"
"Ready to serve!","Generic soldier ant","Zure zerbitzura!"
"Thanks for helping with the assembly.","Generic soldier ant","Eskerrik asko muntaketan laguntzeagatik,"
"I'm still going through the checklist in here!","Generic soldier ant","oraindik egitekoen zerrenda osatzen nabil!"
"Hey buddy...","Moth","Epa, laguna..."
"I'm so sorry. I saw what happened to your boyfriend.","Moth","Sentitzen dut. Ikusi dut zer gertatu zaion zure mutil-lagunari."
"That big mean bird has been menacing the land below its Sky Bower for years.","Moth","Txoritzar zital hori bere Zeruko Pergolaren azpiko lurra mehatxatzen aritu da urte luzez."
"It devoured many of my siblings... but I think it has something else in mind for your beau.","Moth","Senide asko irentsi dizkit... baina uste dut bestelako asmoak dituela zure maitearentzat."
"The bird loves to collect blue gems, you see.","Moth","Txori horrek gogoko du harribitxi urdinak biltzea, izan ere."
"And that love of yours is the shiniest blue I've ever seen!","Moth","Eta zure bikotearen urdina bezain distiratsurik ez dut aspaldian ikusi!"
"Hmm... Come by my old nest, little buddy. I may have an idea!","Moth","Hmm... Zatoz nire habia zaharrera, lagun txikia. Uste dut ideia bat daukadala!"
"Okay, so this big ball of silk may not look like much, but it was my home for a time.","Moth","Begira, zetazko bola erraldoi honek ez du beste munduko itxurarik, baina aldi baterako nire etxea izan zen."
"The ants below have approached me with reckless plans to turn it into a ""heated air ship"" as part of their defence effort.","Moth","Behean bizi diren inurriek ez naute bakean uzten, etengabe aurkezten dizkidate zetazko bola ""beroarekin mugituko den aireontzi"" bihurtzeko plan zoroak, haien babes-sistema gisa."
"I've not let them try it so far, but perhaps a little recklessness is what we need right now.","Moth","Orain arte ez diet halakorik egiteko baimenik eman, baina baliteke zorakeria pittin bat izatea une honetan behar duguna."
"If you helped them build this ship, it could take you to the Sky Bower above to rescue your boyfriend!","Moth","Ontzi hori eraikitzen laguntzen badiezu, goi hartan dagoen Zeruko Pergolaraino gidatuko zaitut, zure mutil-laguna erreskata dezazun."
"Get help from the ants","Journal quest text","Lortu inurrien laguntza"
"You'll need some fuel too of course. I'd look to the dung beetles on the hill for that.","Moth","Erregairen bat ere beharko duzu, noski. Esango nuke inguru honetako erregairik onena muinoko kakalardoek biltzen duten gorotza dela."
"Find some fuel","Journal quest text","Bilatu erregaia"
"And naturally a guide is important for any adventure! Perhaps a bee? Nobody knows these skies better than them!","Moth","Eta jakina, edozein abenturak gida on bat eskatzen du! Erle bat, akaso? Inork ez ditu zeru-inguru hauek haiek baino hobeto ezagutzen!"
"Befriend a guide","Journal quest text","Egin gida baten lagun"
"Yes!","Moth","Bai!"
"This is a good plan!!","Moth","Plan ona da hau!!"
"Go on, little buddy, there's no time to waste!","Moth","Ekiozu, laguntxo, ez dugu galtzeko astirik!"
"Get out there! Make some friends, and save your love!","Moth","Arakatu inguruak! Egin lagunak, eta salbatu zure maitea!"
"I see you've befriended a royal from Canopy's Peak!","Moth","Ikusten dut Zuhaitzetako Gaineko erregetzaren lagun egin zarela!"
"I expected the bees would be interested in your rescue effort.","Moth","Pentsatzen nuen bai erleei zure erreskate-ahaleginak interesatuko zitzaizkiela."
"They've always fancied adventures through the sky.","Moth","Maite dituzte zeruan zeharko abenturak."
"Maybe this new princess will drive out the bird and build her hive over that horrible Sky Bower!","Moth","Agian printzesa berriak txoritzarra kanporatuko du, eta erlauntza berria eraikiko Zeruko Pergola zantar horren gainean!"
"That would be a happy day indeed!","Moth","Ospatzeko moduko eguna izango da hori!"
"Hi Buddy! These ants showed up just ahead of you.","Moth","Aupa laguntxo! Inurri hauek zu iritsi baino une bat lehenago azaldu dira."
"Made quick work of the tree!","Moth","Bizkor amaitu dituzte zuhaitzeko lanak!"
"They've been badgering me with these designs for ages, but I've not had the courage to let them try it.","Moth","Aspaldian dabiltza diseinu horrekin bueltaka ni gogaitzen, baina gaur arte ez naiz inoiz ausartu baimena ematera."
"I'm glad you're helping each other though. Their plans seem solid... even if they're too bold for me!","Moth","Pozten nau elkar laguntzen ari zaretela ikusteak. Haien planak itxura ona dauka... nire gusturako setatsuegiak diren arren!"
"Wow! What a dramatic entrance!","Moth","Hara! Hori bai sarrera dramatikoa!"
"Looks like I have another new friend to share this tree with.","Moth","Badirudi zuhaitz hau partekatzeko adiskide berri bat aurkitu dudala."
"He doesn't seem to be leaving anytime soon.","Moth","Ez dirudi laster alde egiteko asmoa duenik."
"And you have all the fuel you'd ever need to go save your boyfriend!","Moth","Eta zuk mutil-laguna salbatzera joateko behar zenuen erregai guztia lortu duzu!"
"This day is looking up for us, hey buddy?","Moth","Gaurko eguna gure alde dugu, ezta, laguntxo?"
"Well buddy, it looks like you've got all you need to head out now.","Moth","Tira, laguntxo, dirudienez behar duzun guztia daukazu erreskatera abiatzeko."
"I wish you and your boyfriend a swift reunion!","Moth","Mutil-lagunarekin elkartze atsegina opa dizut!"
"Good luck!","Moth","Zorte on!"
"Good luck on your journey!","Moth","Zorte on zure egitekoarekin!"
"!!!","Golden orb weaver spider","!!!"
"You found one of my webs!","Golden orb weaver spider","Nire amaraunetako bat aurkitu duzu!"
"Bet you can't find my next one!","Golden orb weaver spider","Baina ezetz hurrengorik aurkitu!"
"Later!","Golden orb weaver spider","Gero arte!"
"Find all the golden webs","Golden orb weaver spider","Bilatu urrezko amaraun guztiak"
"You again?","Golden orb weaver spider","Zu berriro?"
"I better get better at hiding these!","Golden orb weaver spider","Hauek hobeto ezkutatzen hasi beharko naiz!"
"No way you'll find my next one!","Golden orb weaver spider","Ez duzu hurrengorik aurkituko, ez!"
"No way!","Golden orb weaver spider","Ez horixe!"
"You found me again!","Golden orb weaver spider","Berriro aurkitu nauzu!"
"You must have great eyesight!","Golden orb weaver spider","Belatzaren ikusmena daukazu!"
"I'll have to put my all into the next spot.","Golden orb weaver spider","Hurrengo gordelekua ondo bilatu beharko dut."
"Wow, okay, I give up!","Golden orb weaver spider","Zer? Aski da, amore ematen dut!"
"You're obviously going to find me wherever I hide!","Golden orb weaver spider","Argi dago edonon ezkutatzen naizela ere, aurkituko nauzula!"
"Here, take your prize.","Golden orb weaver spider","Tori, sari bat merezi duzu."
"Congratulations, hide and seek champion!","Golden orb weaver spider","Bejondeizula, bilaketan txapelduna zara!"
"Oh gosh! Have you seen any little spiders around here?","Wolf spider","Oi, ez! Ikusi duzu armiarma-kumerik inguruan?"
"My babies got startled when that big bird flew by and they've scattered all over the bush!","Wolf spider","Ene kumeak ikaratu egin dira txoritzar hori hegan azaldu denean, eta basoan zehar barreiatu dira!"
"Please, if you find any, bring them back to me!","Wolf spider","Arren, ikusten badituzu, ekar itzazu nigana!"
"They're too young to be off on their own.","Wolf spider","Gazteegiak dira euren kabuz ibiltzeko."
"Return the wolf spider's babies","Journal quest text","Bueltatu otso-armiarmari bere kume guztiak"
"My babies!","Wolf spider","Ene kumeak!"
"Oh thank you so much!","Wolf spider","Oi, milesker anitz!"
"These little ones ballooned off when that big bird flew by.","Wolf spider","Ene txikitxoek ihes egin dute txoritzar hori hegan azaldu denean."
"But they're far too young to be off on their own.","Wolf spider","Baina gazteegiak dira euren kabuz ibiltzeko."
"If you find the others, please bring them back to me!","Wolf spider","Gainontzekoak aurkitzen badituzu, ekarri nigana!"
"My babies are out there!","Wolf spider","Ene kumeak hor zehar daude, bakar-bakarrik!"
"Please help me find them.","Wolf spider","Arren, lagundu haiek bilatzen."
"Thanks for getting these little ones back to me!","Wolf spider","Milesker txikitxo hauek nigana ekartzeagatik!"
"I'm still looking for the rest of them.","Wolf spider","Oraindik gainontzekoen bila nabil."
"But together we'll surely bring them all home safely!","Wolf spider","Ziur bion artean denak sano eta salbu etxeratuko ditugula!"
"38, 39...","Wolf spider","38, 39..."
"40! That's all of them!","Wolf spider","40! Hau zen azkena!"
"If I never see another bird, it'll be too soon!","Wolf spider","Inoiz gehiago txoririk ez ikustea espero dut!"
"Thank you so much for helping me find these little rascals.","Wolf spider","Milesker bihurri hauek bilatzen laguntzeagatik."
"If you ever need help, you just call, okay?","Wolf spider","Inoiz laguntza behar baduzu, deitu besterik ez duzu, ados?"
"Thanks again for helping me find these little rascals.","Wolf spider","Milesker berriro bihurri hauek bilatzen laguntzeagatik."
"Hey there little spider!","Michael the beetle","Iepa, armiarmatxo!"
"You heard about dung?","Michael the beetle","Dastatu duzu inoiz gorotzik?"
"Tasty, nutritious, and burns extra hot!","Michael the beetle","Zaporetsua da, nutritiboa, eta berebiziko indarra ematen dizu!"
"You want some?","Michael the beetle","Pixka bat nahi?"
"Well you're in luck! We've got some friends with loads of dung to share!","Michael the beetle","Tira, zorteko zaude! Zurekin partekatzeko gorotz mordoa duten lagun batzuk ezagutzen ditut!"
"Just... uhh... not here...","Michael the beetle","Baina... eee... ez dira hemen bizi..."
"Its up the hill a fair way.","Michael the beetle","Maldan gora dexente igota bizi dira."
"And, well, there's one small problem with getting up there...","Michael the beetle","Eta, tira, arazotxo bat dago hara igotzea eragozten duena..."
"Oh get to the point, Michael!","Wendy the beetle","Oi, harira, Michael!"
"Look, we need to get across these puddles, and I broke my wing a while back.","Wendy the beetle","Hara, putzu hauek zeharkatu behar ditugu nahitaez, baina hegala hautsia daukat."
"No flying means we're in need of a walking based solution.","Wendy the beetle","Hegan egin ezin dudanez, oinezko bide bat bilatu beharko dugu."
"Think you could use your fancy web skills to string us a bridge outa them sticks?","Wendy the beetle","Zer diozu, zure ehule gaitasunekin eta makila horiekin zubi bat eraiki dezakezu?"
"Help the beetles cross the puddles","Journal quest text","Lagundu kakalardoei putzuak zeharkatzen"
"Have you fixed up a bridge for us?","Wendy the beetle","Guretzako zubia eraiki duzu?"
"Oh well, you take your time.","Wendy the beetle","Oh, ongi da, hartu behar duzun astia."
"We ain't in any rush.","Wendy the beetle","Ez daukagu batere presarik."
"Let's give this a go then!","Wendy the beetle","Proba dezagun, bada!"
"Well, that was a bit rocky for my tastes.","Wendy the beetle","Oi ez, bide hori malkartsuegia da niretzako."
"Cheers for trying though!","Wendy the beetle","Baina eskerrik asko saiatzeagatik!"
"Let us know if you wanna give it another try.","Wendy the beetle","Esaguzu beste saiakerarik egiten baduzu."
"Well thank you so much little spider!","Wendy the beetle","Eskerrik asko, armiarmatxo!"
"We can head on up now... after a little rest.","Wendy the beetle","Orain gorantz abia gaitezke... atsedenalditxo baten ostean."
"We won't beat you to the top, but you'll see our friends!","Wendy the beetle","Ez gara zurekin igoko goraino, baina bertan aurkituko dituzu gure lagunak!"
"You tell em Wendy and Michael sent you.","Wendy the beetle","Esaiezu Wendy eta Michaelen partez zoazela."
"They'll be able to get you all the dung you need!","Wendy the beetle","Behar duzun beste gorotz eman ahalko dizute!"
"Thank you friend!","Michael the beetle","Milesker, lagun!"
"You should head up to the top of the hill n' get yourself some dung!","Michael the beetle","Infernuko maldaren gaineraino abiatu beharko zenuke, eta zuretzako gorotz apur bat eskuratu!"
"Can't go wrong with dung!","Michael the beetle","Gorotza lortuz gero, ez duzu hutsik egingo!"
"Howdy, spider!","Beetle mother","Zer moduz, armiarmatxo!"
"Wendy and Mike sent you did they?","Beetle mother","Wendy eta Mikeren partez zatoz, ezta?"
"You must be here for the bounty of dung!","Beetle mother","Gorotz bila zatoz zu ere?"
"We got some for ya right on over here.","Beetle father","Zuretzako pilotxo bat daukagu hemen gordeta."
"Only problem is this dung is a little TOO comforting.","Beetle mother","Arazo bakarra da gorotza HAIN dela erosoa..."
"Our lazy son is simply refusing to leave the ball!","Beetle mother","Gure seme nagiak uko egiten dio bola askatzeari!"
"It's so hot out there! Why would I want to leave?","Teen beetle","Kanpoan egiten duen bero sargoriarekin... zergatik utzi beharko nuke bola?"
"Little spider, It's all yours if you can convince him to get out and see a bit of the world.","Beetle mother","Armiarmatxo, hortik atera eta mundua ezagutzeko konbentzitzen baduzu, bola zurea da."
"Go on... give it a little push!","Beetle father","Aurrera... eman bultzadatxo bat!"
"Little spider, you're back!","Beetle mother","Armiarmatxo, itzuli zara!"
"We can't thank you enough for helping our son find his feet.","Beetle mother","Bihotzez eskertzen dizugu semea zentzatzen laguntzeagatik."
"We miss him of course, but we're so glad he has good friends like you.","Beetle mother","Bere falta sumatzen dugu, noski, baina pozgarria da zu moduko lagun onak dituela jakitea."
"Tell him to come visit when he has time, Okay?","Beetle father","Esaiozu astia duenean bisitan etortzeko, ados?"
"...","Teen beetle","..."
"???","Teen beetle","???"
"Did I seriously just get kicked out of home???","Teen beetle","Zer?? Benetan etxetik ostikoz atera nautela???"
"I'll just have to live here now I guess??","Teen beetle","Beraz, hemen bizi beharko naiz orain??"
"Help yourself to some dung. It's my favourite!","Teen beetle","Hartu gorotz pixkat zuretzat. Nire gogokoena da!"
"Very energy dense!","Teen beetle","Energiaz topera dago!"
"Help yourself to some dung, neighbour!","Teen beetle","Hartu gorotz pixkat zuretzat, auzoa!"
"Fresh dung is the best dung!","Teen beetle","Gorotz freskoa da gorotzik gozoena!"
"Pushing a great big ball of dung is one of the best workouts!","Generic beetle","Ez dago gorotz bola handi bat bultzatzea baino ariketa hoberik!"
"Hey there friend!","Generic beetle","Iepa lagun!"
"Welcome to Dungtown!","Generic beetle","Ongi etorri Gorotzerrira!"
"Heeeyyy! Wassup my dude?","Redback spider","Ieeeeeeep! Zeeeer beeerri, txoooo?"
"You like my super secret chill-out zone?","Redback spider","Gustatzen zaizu erlaxatzeko prestatu dudan leku super sekretu hau?"
"That's awesome, dude.","Redback spider","Demasa, txo."
"You can hang here like all day if you want!","Redback spider","Nahi baduzu egun osoa pasa dezakezu hemen!"
"Keep it chill my dude!","Redback spider","Erlaxatu, txo!"
"Heya skater girl!","Skate Bird","Ei, skate-neska!"
"It me, skatebirb!","Skate Bird","Skatebirb hemen!"
"I been tryin teach all dem ants to skate.","Skate Bird","Iñurri guzti hoiei skatean ibiltzen erakusten ai naun."
"Dey got de right attitude, but... still working on technique.","Skate Bird","Yarrera egokia diten, bañaa... teknika exkaxaaa."
"U wanna show dem how it's done??","Skate Bird","Haiei nooola ittean erakutsi nahi?"
"Heck yes!","Skate Bird","Itzel!"
"Clear de park, ants! We about to see some sick moves!","Skate Bird","Hustu pista, iñurriak! Oain mugimendu zoroooak ikusiko ttuzue!"
"U ready to skate??","Skate Bird","Irrixtatzeko prest??"
"Sick! Let's get u ur board!","Skate Bird","Hoi den-eta! Eeemaiozue taula bat!"
"Okies, u come back whenever u feel like skating!","Skate Bird","Itzel, buelta hadi irrixtatzeko prest hagoanean!"
"Gnarly Mate!","Skater ant","Bikain, txo!"
"That bird is a ripper skater!","Skater ant","Txori hori irristatzeko jaio zen!"
"I'm always doing a boneless!","Skater ant","Bizkarrezurra gelatinazkoa dauka!"
"Get it... ?","Skater ant","Ulertzen... ?"
"This park is so rad!","Skater ant","Parke hau izugarria da!"
"This park is so secret!","Skater ant","Parke hau sekretua da!"
"No posers ever find it!","Skater ant","Itxurati harroputzek ez dute inoiz aurkituko!"
"Hey pal!","Generic engineering ant","Ei, adiskide!"
"You got a minute?","Generic engineering ant","Baduzu unetxo bat?"
"We were working on a new tunnel here when the roof caved in.","Generic engineering ant","Tunel batean lanean ari ginen, eta lurjausi bat egon da."
"My Comrades are heading back to get more supplies now,","Generic engineering ant","Burkideak hornigai bila joan dira bueltan,"
"but our spider-bot is still stuck under the rubble!","Generic engineering ant","baina gure armiarmabot-a hondakinen pean harrapatua dago!"
"Think you could help me hoist him out of there?","Generic engineering ant","Lurpetik ateratzen laguntzerik bai?"
"Recover the spider-bot","Journal quest text","Berreskuratu armiarmabot-a"
"Can you help me hoist the bot out of this rubble?","Generic engineering ant","Lagun nazakezu hondakinetatik robota berreskuratzen?"
"Thanks bud.","Generic engineering ant","Milesker, lagun."
"Those old bots are real hard to replace.","Generic engineering ant","Robot zahar hauek ordezkatzea oso zaila izaten da."
"You're a lifesaver!","Generic engineering ant","Gure salbatzailea zara!"
"I'm just keeping watch of the worksite while I wait for more supplies.","Generic engineering ant","Lan-eremua zaintzen ari naiz, hornigaiak iritsi bitartean."
"zhoooOOOOM!","Spider-bot","zhoooOOOOM!"
"[GREETINGS STRANGER]","Spider-bot","[KAIXO, EZEZAGUNA]"
"[GREETINGS ENGINEER]","Spider-bot","[KAIXO, INGENIARIA]"
"[YOUR RESCUE IS APPRECIATED]","Spider-bot","[ESKERTZEN DA ERRESKATEA]"
"[THIS SPIDERBOT HAS BEEN DAMAGED]","Spider-bot","[ARMIARMABOT HAU KALTETUA DAGO]"
"[PLEASE RETURN TO BASE FOR REPAIRS]","Spider-bot","[ITZULI BASERA KONPONKETARAKO]"
"Little spider!","PRINCESS Bee","Armiarmatxo!"
"How's your boyfriend going?","PRINCESS Bee","Zer moduz dago zure mutil-laguna?"
"A prime opportunity just opened up since we sent that nasty bird away.","PRINCESS Bee","Aukera interesgarri bat sortu zaigu txoritzar gorrotagarri hura uxatu dugunetik."
"I'm going to build my new hive on the magic island!","PRINCESS Bee","Nire erlauntza berria uharte magikoan eraikiko dut!"
"Isn't that exciting??","PRINCESS Bee","Zoragarria, ezta??"
"Anyway, I'm glad I caught you here. I was just about to head out!","PRINCESS Bee","Edonola ere, pozten nau zu hemen aurkitu izanak. Harantz abiatzear nago!"
"I'll see you around, buddy.","PRINCESS Bee","Berriro ikusi arte, laguna."
"I'll see you around,  princess spider.","PRINCESS Bee","Berriro ikusi arte, armiarma printzesa."
"Don't go on any big adventures without me!","PRINCESS Bee","Ez zaitez abentura handietara abiatu ni gabe!"
"Hi buddy! It's so good to see you.","Moth","Kaixo, adiskide! Pozgarria da zu ikustea."
"I hope the two of you are settling back in okay.","Moth","Espero dut zuok biok lasaitasunera bueltatuko zinetela."
"Lovely to have a bit of peace at the old tree again.","Moth","Ederra da zuhaitz zaharra berriro bakean ikustea."
"That was more than enough adventure for my lifetime!","Moth","Nik behintzat nahikoa abentura izan dut bizi osorako!"
"Wasn't that a cool mission?","Teen beetle","Misio txundigarria izan da hau, ezta?"
"Did you see me pulling the balloon?","Teen beetle","Ikusi nauzu, globotik tiraka?"
"I was all BZZZZZ, and you were all ZOOOOM, ZAP!","Teen beetle","Hor nenbilen ni, BZZZZZ, eta gero zuk ZOOOOM, ZAP!"
"It was awesome!","Teen beetle","Kristona izan da!"
"Thanks for helping me leave the old dung ball.","Teen beetle","Milesker gorotz bola zaharra uzten laguntzeagatik."
"This whole outside world thing is so much more fun than I thought!","Teen beetle","Kanpoko mundu hau uste baino dibertigarriagoa da!"
"Let me know when the next mission is gonna be.","Teen beetle","Abisatu beste misio bat daukazunean."
"I'm gonna be the muscle!","Teen beetle","Ni izango naiz misioko muskulua!"
"Oh hey there!","Vlad the ant","Oh, kaixo!"
"I was just debriefing Carl here about our airship trip!","Vlad the ant","Carli aireontziko txangoaren berri ematen nenbilen!"
"She's got some new plans brewing!","Vlad the ant","Plan berriak darabilzki buruan!"
"Comrade Vlad has collected a lot of useful data for us.","Carl the ant","Vlad burkideak informazio erabilgarri mordoa bildu du guretzako."
"If we can better integrate the heated airship technology into the Mech-Ant,","Carl the ant","Aire bero bidezko aireontziaren teknologia Inurri Mekanikoarekin integratuz..."
"we'll be able to deploy ground defenses against the fire ants at a moment's notice!","Carl the ant","... suzko inurrien aurkako lurreko defentsak aktibatu ahalko ditugu istantean."
"There's still some details to work out. But I think she's onto something with this.","Vlad the ant","Jorratu beharreko xehetasunak daude oraindik. Baina uste dut bide onetik goazela."
"We couldn't have done it without you, Comrade!","Vlad the ant","Ez genuke zu gabe halakorik lortuko, burkide!"
"Mhhmm, you've been very helpful, Engineer.","Carl the ant","Mhhmm, oso lagungarria izan zara guretzat, ingeniaria."
"I made the right decision with you.","Carl the ant","Erabaki zuzena hartu nuen zu onartzean."
"Good work, Comrade.","Carl the ant","Lan ona egin duzu, burkide."
"Keep it up.","Carl the ant","Segi horrela."
"When we hit the skies again I hope I'll have you by my side!","Vlad the ant","Berriro aireratzen garenean nire alboan izango zaitudala espero dut!"
"Comrade Spider!","Mark the ant","Armiarma burkidea!"
"Guard duty's been awfully quiet now that we have a Mech-Ant out on patrol.","Mark the ant","Zaintza-lanak izugarri erraztu dira Inurri Mekanikoa patruilatzen dabilenetik."
"If you see any little fire ants around, you let me know!","Mark the ant","Inguruan suzko inurririk ikusten baduzu, jakinarazi!"
"Hellos there spider...","Netcasting spider","Kaaaissso armiarma..."
"Be veeery veeery quiets","Netcasting spider","Zzzaude geeeldi geeeldi"
"Don't scares the fffoods","Netcasting spider","Ezzz usssatu jjjatekoa"
"Noisssy...","Netcasting spider","Zzzaratatsssua..."
"If I gives you a sssticker...","Netcasting spider","Eranssskailu bbat ematen badizzzuut..."
"Will you be quiets then?","Netcasting spider","Issssilduko zzzara, berazz?"
"Noisssy spider...","Netcasting spider","Armiarma zzzaratatssua..."
"Go away...","Netcasting spider","Osssspaa..."
"Why do you insist on being annoyings?","Netcasting spider","Zzergatik zzzatoz ni eragozzzztera?"
"I's ignoring you...","Netcasting spider","Ezzz zara exissstitzen niretzzat..."
"Sssshhhhhh","Netcasting spider","Isssssssooo"
"I gaves you the sssticker...","Netcasting spider","Eranssskailua eman dizzzut..."
"You have to be quiets now...","Netcasting spider","Orain isssilduuu..."
"I's waiting for the foods...","Netcasting spider","Jjjatekoaren zzzain nago..."
"To walk into my little trap...","Netcasting spider","Nire amarrruan eror daitezzzen..."
"Continue","Menu","Jarraitu"
"Load Game","Menu","Kargatu partida"
"New Game","Menu","Partida berria"
"Settings","Menu","Ezarpenak"
"Quit","Menu","Irten"
"Language","Menu","Hizkuntza"
"Full Screen","Menu","Pantaila osoa"
