"game_lang_code","context","EN","DE","FR","IT","ES","RU","JP","PB","CN"
"Oh... How tragically predictable.","Fly Lord","Oh... How tragically predictable.","Oh, wie entsetzlich vorhersehbar.","O... Tristea bezain aurresangarria.","Oh... Tragicamente prevedibile.","Ah..., qué trágicamente predecible.","О... Как предсказуемо.","おお……そなたは がっくりくるほど わかりやすいな。","Ah… que previsível.","哦……不出所料，太可悲了。"
"You just couldn't help yourself, could you?","Fly Lord","You just couldn't help yourself, could you?","Du konntest einfach nicht anders, hm?","Ezin izan diozu tentaldiari eutsi, e?","Proprio non potevi resistere, eh?","No te has podido contener, ¿eh?","Ты просто не могла удержаться.","ジセイシンと いうものが ないのだな？","Não conseguiu se segurar, não é mesmo?","你就是控制不住自己，对吗？"
"I'll free you of your burden of course.","Fly Lord","I'll free you of your burden of course.","Ich befreie dich natürlich von deiner Last.","Zama arintzen lagunduko dizut, jakina.","Certo, ti libererò dal tuo fardello...","Te libraré de tu carga, por supuesto.","Разумеется, я освобожу тебя от бремени.","よいとも。そなたの体を かるくして しんぜよう。","Vou livrá-la de seu fardo, claro.","当然了，我会让你摆脱负担。"
"But know this, spider: I am disappointed in you.","Fly Lord","But know this, spider: I am disappointed in you.","Aber lass mich dir sagen, Spinne, dass ich enttäuscht von dir bin.","Baina jakizu, armiarma: desengainua hartu dut zurekin.","Ma sappi questo: mi hai deluso.","Pero sé consciente de que me has decepcionado, araña.","Но знай, паучок: я в тебе разочарован.","だが おぼえておけ クモよ――そなたには しつぼうしたぞ。","Mas, ouça bem, aranha: estou bastante desapontado com você.","但是蜘蛛，你要知道：我对你非常失望。"
"Well if it isn't the mighty predator.","Fly Lord","Well if it isn't the mighty predator.","Na, wenn das mal nicht das mächtige Raubtier ist.","Nor dugu hemen, ez al da ba harrapari ahaltsua!","Guarda un po', la strabiliante predatrice.","Vaya, pero si es la voraz depredadora.","Кто это к нам пожаловал? Могучая хищница!","おやおや。いだいなる 肉食虫ではないか。","Ora, se não é a grande predadora.","哎呀，这不是强大的掠食者吗。"
"Feeling a little full?","Fly Lord","Feeling a little full?","Fühlst du dich etwas prall im Bauch?","Zer? Betekada?","Hai la pancia un po' piena?","¿Te notas muy llena?","Ты переела?","食いすぎたというのかね？","Está de bucho cheio?","有点饱了吗？"
"Let's see if we can't free some of those you've imprisoned.","Fly Lord","Let's see if we can't free some of those you've imprisoned.","Vielleicht können wir dich um ein paar Gefangene erleichtern.","Ikustagun, ea barru horretatik norbait aska dezakegun.","Vediamo di liberare qualche sorella che hai imprigionato.","A ver si podemos liberar a algunas de las que has aprisionado.","Давай-ка попробуем освободить тех, кого ты пленила.","そなたが とらえた ハエたちを かいほうできるか ためしてみよう。","Vamos ver se consigo libertar algumas das vítimas que você aprisionou.","看看我们能不能释放一些你的俘虏。"
"Haha! Fly my friends!","Fly Lord","Haha! Fly my friends!","Haha! Fliegt fort, meine Freunde!","Jaja! Egin hegan, lagunok!","Ah ah! Volate, amiche mie!","¡Ja, ja, ja! ¡Volad, amiguitas!","Ха-ха! Летите, друзья!","ハハハ！　とべ わが なかまたちよ！","Haha! Voem, amiguinhas!","哈哈！飞吧，朋友们！"
"Fly free!","Fly Lord","Fly free!","Fliegt in die Freiheit!","Zoazte aske!","Volate libere!","¡Volad libres!","Летите на свободу!","そなたらは じゆうだ！","Voem livres!","自由飞翔吧！"
"Begone, predator!","Fly Lord","Begone, predator!","Hinfort, Raubtier!","Orain ospa, harraparia!","Sciò, predatrice!","¡Largo, depredadora!","Прочь с глаз моих, хищница!","たちされ 肉食虫め！","Agora vá, predadora!","滚开，掠食者！"
"There's nothing for you to eat here.","Fly Lord","There's nothing for you to eat here.","Hier gibt es nichts für dich zu fressen.","Hemen ez da jatekorik zuretzat.","Qui non c'è nulla da mangiare per te.","Aquí no tienes nada que comer.","Здесь тебе нечем поживиться.","ここには そなたの エサなど ないわ。","Não há nada para você devorar aqui.","这里没有你可吃的东西了。"
"You...","Fly Lord","You...","Du …","Zu...","Sei...","Tú...","Ты...","きさま……","Sua…","你……"
"You monster!","Fly Lord","You monster!","Du Monster!","Munstro halakoa!","Sei un mostro!","¡Monstruo!","Ты чудовище!","このカイブツめが！","Sua monstra!","你这个怪物！"
"You ate every last one of them!","Fly Lord","You ate every last one of them!","Du hast jede einzelne von ihnen gefressen!","Azken eulia ere irentsi duzu!","Le hai mangiate tutte, dalla prima all'ultima!","¡Te las has comido a todas!","Ты съела всех мух до последней!","1 ぴき のこらず、食いよったな！","Você devorou todas elas! Todinhas!","你把他们全部吃光了！"
"I curse you, predator!","Fly Lord","I curse you, predator!","Sei verflucht, Raubtier!","Madarikatua zu, harraparia!","Io ti maledico, predatrice!","¡Yo te maldigo, depredadora!","Проклинаю тебя!","のろわれよ。肉食虫め！","Eu a amaldiçoo, predadora!","我诅咒你，掠食者！"
"You shall know the pain of the fly!","Fly Lord","You shall know the pain of the fly!","Dir sollen die Schmerzen der Fliege widerfahren!","Eulion oinazea ezagutuko duzu!","Anche tu patirai la stessa sofferenza!","¡Vas a conocer el dolor de las moscas!","Ты познаешь всю ту боль, что чувствует муха!","ハエの いたみを しるがよい！","Vou lhe mostrar a dor de uma mosca!","你应该知道苍蝇的痛苦！"
"Greetings Comrade spider!","Mark the ant","Greetings Comrade spider!","Sei gegrüßt, Genossin Spinne.","Egun on, armiarma burkidea!","Salve, compagna ragno!","¡Saludos, camarada araña!","Здравствуй, товарищ паучок!","ごきげんよう。同志（どうし）クモよ！","Saudações, aranha camarada!","你好，蜘蛛同志！"
"I hear you've got some problems that could use an ant solution.","Mark the ant","I hear you've got some problems that could use an ant solution.","Wie ich höre, hast du Probleme, die einer Ameisenlösung bedürfen.","Entzun dut zure arazoak konpontzeko inurrion soluzio bat behar duzula.","Ho saputo che hai un problema che noi formiche potremmo risolvere.","Dicen que tienes problemas que podrían requerir una solución de hormigas.","Я слышала, у тебя есть задачка, с которой могут справиться муравьи.","アリの力で かいけつできそうな もんだいを かかえていると きいたぞ。","Ouvi dizer que você tá com uns problemas que nós, formigas, podemos resolver.","听说你遇到了一些麻烦，我们蚂蚁可以帮忙解决。"
"We'd love to help out, but we're still recovering from the latest fire ant raid.","Mark the ant","We'd love to help out, but we're still recovering from the latest fire ant raid.","Wir würden dir gerne helfen, aber wir erholen uns noch vom jüngsten Überfall der Feuerameisen.","Gustura lagunduko genizuke, baina oraindik suzko inurrien azken oldarraldiko kalteak konpontzen gabiltza.","Vorremmo aiutarti, ma ci stiamo ancora riprendendo dall'ultima incursione delle formiche rosse.","Nos encantaría ayudarte, pero todavía nos estamos recuperando del último asalto de las hormigas rojas.","Мы бы с радостью помогли, но все еще разгребаем последствия недавнего набега огненных муравьев.","てつだいたいが、こちらも さいきん ヒアリに おそわれてね。まだ ふっこうに てまどっている。","Adoraríamos te ajudar, mas ainda estamos nos recuperando da última invasão de formigas-de-fogo.","我们喜欢助虫为乐，但自从上次被火蚁袭击后，我们还在休养生息中。"
"The workers could really use some extra help down there, if you've got time.","Mark the ant","The workers could really use some extra help down there, if you've got time.","Die Arbeiterinnen könnten da unten wirklich Hilfe brauchen, falls du Zeit hast.","Langileek atseginez hartuko lukete laguntza pixkat behe horretan, astirik baduzu behintzat.","Se hai tempo, alle formiche operaie là sotto servirebbe proprio una mano.","A las trabajadoras les vendría bien que alguien les echase una pata, si tienes tiempo.","Если у тебя найдется время, нашим работницам очень пригодилась бы твоя помощь.","時間があるなら、地下で はたらきアリたちを てつだってくれると とても たすかる。","As formigas trabalhadoras precisam de uma ajuda lá embaixo, se tiver com tempo livre.","如果你有时间的话，地下的工蚁们真的非常需要帮助。"
"Speak with Comrade Carl in the Mech-Ant chamber.","Mark the ant","Speak with Comrade Carl in the Mech-Ant chamber.","Sprich mit Genossin Carl in der Robomeisenkammer.","Hitz egin Carl burkidearekin, Inurri Mekanikoaren ganberan dago.","Parla con il compagno Carl nella sala della Formecha.","Habla con la camarada Carl en la cámara de la mecahormiga.","Поговори с товарищем Карл в отделе «Мехмур».","メカアントのへやに いる、同志（どうし）カールに 声をかけると いい。","Fale com a camarada Carl, na câmara da Formiga-mecânica.","去机械蚁巢室跟卡尔同志谈谈吧。"
"She'll be able to give you some work.","Mark the ant","She'll be able to give you some work.","Sie kann dir Arbeit geben.","Berak emango dizu egitekoren bat.","Dovrebbe avere del lavoro per te.","Ella podrá darte algo de trabajo.","Она скажет тебе, что делать.","かのじょが しごとを わりふってくれる はずだ。","Ela vai te repassar umas tarefas.","她可以给你分配一些工作。"
"Talk to Comrade Carl in the Mech-Ant chamber","Journal quest text","Talk to Comrade Carl in the Mech-Ant chamber","Sprich mit Genossin Carl in der Robomeisenkammer","Hitz egin Carl burkidearekin, Inurri Mekanikoaren ganberan.","Parla con il compagno Carl nella sala della Formecha","Habla con la camarada Carl en la cámara de la mecahormiga","Поговорить с товарищем Карл в отделе «Мехмур»","メカアントのへやで同志（どうし）カールと話す","Fale com a camarada Carl na câmara da Formiga-mecânica","去机械蚁巢室跟卡尔同志谈谈"
"We appreciate you coming by. Volunteers are always welcome!","Mark the ant","We appreciate you coming by. Volunteers are always welcome!","Wir freuen uns, dass du vorbeischaust. Freiwillige sind immer willkommen!","Asko eskertzen dizugu etorri izana. Boluntarioak beti dira ongi etorriak!","Grazie di essere qui. Ogni volontario è ben accetto!","Gracias por pasarte. ¡Siempre vienen bien los voluntarios!","Спасибо, что зашла! Мы всегда рады волонтерам.","来てくれて ありがとう。てつだってくれるなら いつでも かんげいだ！","Agradecemos pela sua visita. Voluntários são sempre bem-vindos!","非常感激你能过来。我们随时欢迎志愿者们！"
"Well well, if it isn't the brand new Engineer!","Mark the ant","Well well, if it isn't the brand new Engineer!","Na, wenn das man nicht unsere brandneue Pionierin ist!","Hara, hara, hara, hemen dugu gure ingeniari berria!","Bene, bene, la nuova geniera!","Vaya, vaya, ¡pero si es la nueva ingeniera!","О, да это же новый инженер!","おや。新しいエンジニアじゃないか！","Ora, ora, se não é a mais nova engenheira do pedaço!","哎呀呀，这不是新鲜出炉的工程师嘛！"
"We appreciate the assist.","Mark the ant","We appreciate the assist.","Wir wissen die Hilfe zu schätzen.","Milesker laguntzagatik.","Grazie dell'aiuto.","Gracias por la ayuda.","Мы рады любой помощи.","力を かしてくれて かんしゃするよ。","Agradecemos a sua assistência.","我们很感谢你的帮助。"
"The team has already arrived to work on that problem of yours.","Mark the ant","The team has already arrived to work on that problem of yours.","Das Team ist schon hier, um eine Lösung für dein Problem zu finden.","Dagoeneko abiatu da talde bat zure arazo horretan lan egitera.","La squadra è già sul posto per risolvere quel problema che hai avuto.","El equipo ya se ha puesto en marcha para arreglar ese problemilla tuyo.","Наша команда уже работает над твоей проблемой.","そちらの かだいに とりくむ チームなら もう とうちゃくしてる。","A equipe já está trabalhando pra resolver aquele seu problema.","我们的团队已经开始着手解决你的问题了。"
"Go see Lead Engineer Vlad, up by the baloon.","Mark the ant","Go see Lead Engineer Vlad, up by the balloon.","Geh zur obersten Pionierin Vlad, oben beim Ballon.","Zoaz Vlad ingeniari-burua ikustera, globoan dago.","Incontrati con il capo geniere Vlad alla mongolfiera.","Ve a ver a la ingeniera jefa, Vlad, cerca del globo.","Иди поговори с главным инженером Влад. Она у воздушного шара.","しゅにんエンジニアのヴラドに会いに行くといい。飛行船（ひこうせん）の ところに いるからな。","Fale com o engenheiro-chefe Vlad, lá em cima, no balão.","去见见首席工程师弗拉基吧，她在上面，就在气球旁边。"
"Oh! Greetings Comrade!","Mark the ant","Oh! Greetings Comrade!","Oh, sei gegrüßt, Genossin!","O! Kaixo, burkide!","Oh! Salve, compagna!","¡Ah! ¡Saludos, camarada!","Привет, товарищ!","おお。ごきげんよう、同志（どうし）よ！","Ah! Saudações, camarada!","啊！同志你好！"
"I'm not sure how you snuck by me before...","Mark the ant","I'm not sure how you snuck by me before...","Ich weiß nicht, warum ich dich bisher nicht bemerkt habe …","Ez dakit nola ez zaitudan lehenago ikusi...","Non so come hai fatto a intrufolarti senza che ti vedessi...","No sé cómo te has colado sin que te viese antes...","Я и не заметила, как ты проскользнула мимо меня...","この間は いったい どうやって わたしの目を すりぬけたんだ……？","Não sei como conseguiu passar por mim sem que eu te visse…","我不知道你之前是怎么悄悄从我身边溜过去的……"
"But we appreciate the assist!","Mark the ant","But we appreciate the assist!","Aber wir wissen die Hilfe zu schätzen!","Baina asko eskertzen dizugu laguntzera etortzea!","Ad ogni modo, grazie dell'aiuto!","¡Pero gracias por la ayuda!","Но хочу поблагодарить тебя за помощь!","いずれにせよ、力をかしてくれて かんしゃだ！","Mas agradecemos pela assistência!","但是我们很感谢你的帮助！"
"We've sent a team up ahead to work on that problem of yours.","Mark the ant","We've sent a team up ahead to work on that problem of yours.","Wir haben schon ein Team losgeschickt, um dein Problem zu lösen.","Talde bat bidali dugu gora, zure arazoarekin laguntzera.","Abbiamo già mandato una squadra a risolvere quel problema che hai avuto.","Hemos enviado a un equipo para que se encargue de ese problemilla tuyo.","Наша команда уже работает над твоей проблемой.","あんたの かだいに とりくむ チームも はけんしたよ。","Já enviamos uma equipe para resolver aquele seu problema.","我们已经派出一个团队去上面帮你解决问题了。"
"But don't be gone too long!","Mark the ant","But don't be gone too long!","Aber bleib nicht zu lange weg!","Baina itzul zaitez luze gabe!","Ma vedi di non sparire per troppo tempo!","¡Pero vuelve pronto!","Ты главное не пропадай надолго!","だが、ちょいちょい顔を見せに来てくれよ！","Mas não demore muito!","但是别离开太久！"
"The colony still needs help finishing the Mech-Ant!","Mark the ant","The colony still needs help finishing the Mech-Ant!","Die Kolonie braucht noch Hilfe bei der Fertigstellung der Robomeise!","Koloniak oraindik laguntza behar du Inurri Mekanikoa eraikitzeko!","Alla colonia serve ancora aiuto per ultimare la Formecha!","¡La colonia sigue necesitando ayuda para acabar la mecahormiga!","Колонии муравьев все еще нужна помощь, чтобы закончить мехмура!","メカアントの しあげに まだ たすけが いるんだ！","A colônia ainda precisa de ajuda para finalizar a Formiga-mecânica!","蚁群还需要帮助来完成机械蚁呢！"
"Hey Comrade!","Mark the ant","Hey Comrade!","Hey, Genossin!","Ei, burkide!","Ehilà, compagna!","¡Hola, camarada!","Здорово, товарищ!","やあ、同志（どうし）よ！","Camarada!","你好，同志！"
"Don't be gone too long!","Mark the ant","Don't be gone too long!","Bleib nicht zu lange weg!","Zatoz laster bueltan!","Vedi di non sparire per troppo tempo!","¡Vuelve pronto!","Возвращайся поскорее!","ちょいちょい顔を見せに来てくれよ！","Não demore muito!","别离开太久！"
"Oh dear!","Generic ant","Oh dear!","Oh weh!","Amatxo maitea!","Oh, cielo!","¡Oh, vaya!","Ну и ну!","ああ！","Caramba!","天呐！"
"That was quite the fall we had!","Generic ant","That was quite the fall we had!","Das war ein ganz schöner Sturz!","Zer erorikoa hartu duguna!","Che volo che abbiamo fatto!","¡Menuda caída!","Вот это падение!","ずいぶん ハデに おちたなあ！","Foi uma queda e tanto!","我们可真能掉的！"
"Things are a bit crazy around the nest right now.","Generic ant","Things are a bit crazy around the nest right now.","Im Nest geht es gerade ziemlich drunter und drüber.","Nahaste handia dago une honetan habia inguruan.","Al momento c'è parecchia agitazione qui nel formicaio.","Las cosas están un poco locas por la colonia ahora mismo.","В муравейнике сейчас полный хаос.","この すは さいきん すごく いそがしいんだ。","As coisas andam meio doidas aqui no ninho.","现在蚁穴这里的情况还是有些失控。"
"We'd love you're help, if you're willing!","Generic ant","We'd love you're help, if you're willing!","Wir würden uns über deine Hilfe freuen, wenn du willst.","Izugarri eskertuko dugu zure laguntza, hartarako prest bazaude!","Se ci aiutassi, te ne saremmo riconoscenti!","¡Si puedes, nos encantaría que nos ayudases!","Мы были бы очень признательны, если бы ты нам помогла!","もし気がむいたら てつだってくれると うれしいな！","Adoraríamos ter a sua ajuda, se estiver disposta!","如果你愿意的话，我们非常需要你的帮助！"
"Go see Comrade Carl in the Mech-Ant chamber.","Generic ant","Go see Comrade Carl in the Mech-Ant chamber.","Geh zu Genossin Carl in der Robomeisenkammer.","Zoaz Carl burkidearekin hitz egitera, Inurri Mekanikoaren ganberara.","Incontra il compagno Carl nella sala della Formecha.","Ve a ver a la camarada Carl en la cámara de la mecahormiga.","Иди поговори с товарищем Карл в отделе «Мехмур».","メカアントのへやまで、同志（どうし）カールに会いにいくと いい。","Vá ver a camarada Carl na câmara da Formiga-mecânica.","去机械蚁巢室见见卡尔同志吧。"
"She'll know what to do.","Generic ant","She'll know what to do.","Sie wird wissen, was zu tun ist.","Berak esango dizu zer egin.","Saprà indicarti che cosa fare.","Ella sabrá qué hacer.","Она знает, что делать.","かのじょが しじを くれるはずだ。","Ela saberá o que fazer.","她知道该做什么。"
"Talk to Comrade Carl in the Mech-Ant chamber.","Generic ant","Talk to Comrade Carl in the Mech-Ant chamber.","Sprich mit Genossin Carl in der Robomeisenkammer.","Hitz egin Carl burkidearekin, Inurri Mekanikoaren ganberan.","Parla con il compagno Carl nella sala della Formecha.","Habla con la camarada Carl en la cámara de la mecahormiga.","Поговори с товарищем Карл в отделе «Мехмур».","メカアントのへやで、同志（どうし）カールに声をかけると いい。","Fale com a camarada Carl na câmara da Formiga-mecânica.","去机械蚁巢室跟卡尔同志谈谈。"
"Ouch!","Generic ant","Ouch!","Autsch!","Atx!","Ahi!","¡Au!","Ай!","いたっ！","Ai!","嗷，疼！"
"This mudslide is getting dangerous!","Generic ant","This mudslide is getting dangerous!","Dieser Erdrutsch wird gefährlich.","Lur-jausi hau gero eta arriskutsuagoa da!","Accidenti a questa colata di fango!","¡Este deslizamiento se está volviendo peligroso!","Оползень становится опасным!","この どしゃくずれは かなり きけんだぞ！","O deslizamento de terra tá ficando perigoso!","这些泥流开始变得危险了！"
"I was trying to repair this power station to open up access to the pumps.","Generic ant","I was trying to repair this power station to open up access to the pumps.","Ich habe versucht, dieses Kraftwerk zu reparieren, um die Pumpen zu erreichen.","Argindar-estazioa konpondu nahian nenbilen, ponpetara sarbidea irekitzeko.","Stavo cercando di riparare questo impianto per aprire l'accesso alle pompe.","Estaba intentando reparar esta central para abrir el acceso a los surtidores.","Я пыталась починить электростанцию, чтобы запустить насосы.","ポンプに つかうために どうりょくげんを なおそうと してたんだ。","Tava tentando consertar essa central elétrica pra liberar o acesso às bombas.","我想修好这个动力站，打开去泵区的通道。"
"But I slipped and fell!","Generic ant","But I slipped and fell!","Aber ich bin ausgerutscht und gefallen!","Baina irristatu eta beheraino erori naiz!","Ma sono scivolato e caduto!","¡Pero me he tropezado y me he caído!","Но поскользнулась и упала!","でも 足をすべらせて おちちゃった！","Mas eu escorreguei e caí!","但是我一直滑倒！"
"Could you lend me a mandible?","Generic ant","Could you lend me a mandible?","Würdest du mir eine Mandibel leihen?","Baraila bat ematerik bai?","Mi daresti una man... dibola?","¿Me podrías echar una mandíbula?","Можешь подать мне жвалу?","ちょっと あごを かしてくれないか？","Pode me dar uma mandíbula?","你能助我一颚之力吗？"
"Think you could give me a lift out of this ditch?","Generic ant","Think you could give me a lift out of this ditch?","Meinst du, du könntest mir aus dem Graben helfen?","Atera nazakezu zanga honetatik?","Mi aiuteresti a uscire da questa buca?","¿Crees que me podrías ayudar a salir de esta zanja?","Попробуешь вытащить меня из этой ямы?","この みぞから ひっぱりあげて くれるかい？","Será que consegue me tirar dessa vala?","你能把我从这个沟里拉出去吗？"
"Thanks for helping me out!","Generic ant","Thanks for helping me out!","Vielen Dank für deine Hilfe!","Milesker laguntzagatik!","Grazie dell'aiuto!","¡Gracias por ayudarme!","Спасибо тебе за помощь!","たすけてくれて ありがとう！","Valeu pela ajuda!","谢谢你帮助我！"
"You're a true friend.","Generic ant","You're a true friend.","Du bist eine gute Freundin.","Benetako laguna zara.","Sei una vera amica.","Eres una buena amiga.","Ты настоящий друг.","きみは本当の友だちだ。","Isso que é amiga de verdade.","你是个真正的朋友。"
"Now I just need to find a way to fix this gearbox...","Generic ant","Now I just need to find a way to fix this gearbox...","Jetzt muss ich nur dieses Getriebe irgendwie reparieren …","Orain engranaje-kaxa hori konpontzeko modua bilatu behar dut...","Adesso devo solo capire come riparare questa trasmissione...","Ahora tengo que encontrar una forma de arreglar la caja de cambios...","Осталось только придумать, как починить этот редуктор...","あとは この はぐるまボックスを なんとかできれば……","Agora só preciso achar uma forma de consertar essa transmissão…","现在我只要想办法修好这个变速箱就可以了……"
"You here to help with the elevator?","Generic ant","You here to help with the elevator?","Bist du hier, um mit dem Aufzug zu helfen?","Igogailuarekin laguntzera zatoz?","Sei qui per aiutarmi con l'ascensore?","¿Has venido a ayudar con el ascensor?","Ты пришла помочь с подъемником?","エレベーターしゅうりの てつだいに 来てくれたのかい？","Tá aqui pra ajudar com o elevador?","你是来这里帮忙修升降机的吗？"
"It's been broken down since the attack, but I can't reach the part we need to fix it.","Generic ant","It's been broken down since the attack, but I can't reach the part we need to fix it.","Der ist seit dem Überfall kaputt, aber ich komm nicht an das Teil ran, das repariert werden muss.","Erasoalditik ez du funtzionatzen, eta ezin dut konpondu ahal izateko beharrezko pieza eskuratu.","Si è rotto durante l'incursione e non riesco a prendere il pezzo che serve per ripararlo.","Lleva roto desde el ataque, pero no soy capaz de alcanzar la parte que tenemos que arreglar.","Его сломали во время вторжения. Мне не достать деталь, которая нужна, чтобы его починить.","ヒアリの こうげきで こわされてしまったんだ。でも しゅうりにつかう ぶひんに、足が とどかないんだ。","Ele tá quebrado desde o ataque, e eu não consigo alcançar a peça necessária pra consertá-lo.","自从遭受攻击后它就坏了，但是我到不了需要修理的地方。"
"If you can get me the brass cog from the other side of this chamber","Generic ant","If you can get me the brass cog from the other side of this chamber","Bring mir das Zahnrad von der anderen Seite dieser Kammer,","Ganbararen beste aldean dagoen letoizko engranajea ekartzen badidazu...","Se riesci a recuperare l'ingranaggio dall'altro lato della sala,","Si me traes el engranaje de latón del otro lado de esta cámara,","Если тебе удастся добраться до медной шестеренки на другом конце камеры,","このへやの はんたいがわから どうのはぐるま を とってきてくれたら","Se puder pegar pra mim a engrenagem de latão do outro lado da câmara,","你要是能去巢室的另一边帮我把黄铜齿轮拿过来就好了"
"we should be able to get it running.","Generic ant","we should be able to get it running.","dann sollte er wieder funktionieren.","...berriro martxan jarri ahalko dugu.","dovrei poterlo rimettere in funzione.","deberíamos de poder arreglarlo.","мы сможем починить подъемник.","エレベーターを もういちど うごかせるはずなんだ。","vamos poder consertá-lo.","我们应该能让它运转起来。"
"Without that elevator, we're stuck up here.","Generic ant","Without that elevator, we're stuck up here.","Ohne Aufzug stecken wir hier oben fest.","Igogailurik gabe, hemen goian harrapaturik gaude.","Senza quell'ascensore siamo bloccati quassù.","Sin el ascensor, estamos atrapadas aquí.","Без него нам отсюда не выбраться.","エレベーターが うごかないと この下には 行けない。","Sem aquele elevador, estamos presas aqui.","没有升降机，我们就被困在这里了。"
"Fix the elevator with a brass cog","Generic ant","Fix the elevator with a brass cog","Repariere den Aufzug mit einem Zahnrad","Konpondu igogailua letoizko engranajearekin","Ripara l'ascensore con un ingranaggio","Arregla el ascensor con un engranaje de latón","Починить подъемник с помощью медной шестеренки","どうのはぐるま で エレベーターを直す","Conserte o elevador com a engrenagem de latão","用一个黄铜齿轮修好升降机"
"There's no way down from here without that elevator.","Generic ant","There's no way down from here without that elevator.","Von hier kommt man nur mit diesem Aufzug runter.","Ez dago behera jaisteko modurik igogailurik gabe.","Da qui non si può scendere senza quell'ascensore.","No hay forma de bajar sin el ascensor.","Без подъемника нам не спуститься вниз.","エレベーターが うごかないかぎり この下には行けないんだ。","Não tem como descer daqui sem aquele elevador.","没有升降机，就没办法从这里下去。"
"Thanks Comrade. I'll deliver the cog back to the main shaft.","Generic ant","Thanks Comrade. I'll deliver the cog back to the main shaft.","Danke, Genossin. Ich bringe das Zahnrad zurück zum Hauptschacht.","Eskerrik asko, burkide. Engranajea berriro ardatz nagusira eramango dut.","Grazie, compagna. Ora devo solo rimettere l'ingranaggio al suo posto.","Gracias, camarada. Llevaré el engranaje de vuelta al eje principal.","Спасибо, товарищ. Я отнесу шестеренку в главную шахту.","同志（どうし）よ、ありがとう。はぐるまは わたしが メインシャフトに もどしておく。","Valeu, camarada. Vou colocar a engrenagem de volta no eixo.","谢谢你，同志。我会把齿轮送回主竖井。"
"Just pop it into the gearbox and we should be good.","Generic ant","Just pop it into the gearbox and we should be good.","Einfach rein ins Getriebe, das sollte reichen.","Hartu eta koka ezazu engranaje-kaxan, eta funtzionatu beharko luke.","Inseriscilo nella trasmissione e dovremmo essere a posto.","Debería de bastar con colocarlo en la caja de cambios.","Просто вставь ее в коробку передач, и все заработает.","はぐるまボックスに入れておいてくれ。","É só encaixar ela na caixa de transmissão e partir pro abraço.","把它装到变速箱上应该就可以了。"
"Thanks again for fixing the elevator!","Generic ant","Thanks again for fixing the elevator!","Danke noch mal, dass du den Aufzug repariert hast!","Milesker berriro igogailua konpontzeagatik!","Grazie ancora per aver riparato l'ascensore!","¡Gracias por arreglar el ascensor!","Спасибо тебе еще раз за починку подъемника!","あらためて エレベーターを直してくれて ありがとう！","Valeu por ajudar no conserto do elevador!","再次感谢你修好升降机！"
"Oh, you fixed the drawbridge already?","Generic ant","Oh, you fixed the drawbridge already?","Oh, du hast die Zugbrücke schon repariert?","O, dagoeneko zubi altxagarria konpondu duzu?","Oh, hai già riparato il ponte mobile?","Ah, ¿ya has arreglado el puente levadizo?","О, ты уже починила подъемный мост?","はねばしを もう直したのかい？","Ah, já consertou a ponte levadiça?","哦，你已经把吊桥修好了？"
"Oh, thank goodness you're here!","Generic ant","Oh, thank goodness you're here!","Ein Glück, dass du hier bist!","Oi, eskerrak laguntzera etorri zarela!","Oh, grazie al cielo sei qui!","¡Menos mal que estás aquí!","Ох, как хорошо, что ты здесь!","ああ！　きみが来てくれて本当に よかった！","Ah, ainda bem que chegou!","啊，谢天谢地你在这里！"
"The fire ants hit this place pretty hard.","Generic ant","The fire ants hit this place pretty hard.","Die Feuerameisen haben hier ganz schön gewütet.","Suzko inurriek inguru hau guztiz suntsitu dute.","Le formiche rosse ci hanno inferto un duro colpo.","Las hormigas rojas destrozaron esta zona.","Огненные муравьи нанесли большой урон.","このあたりは ヒアリに たくさん こうげきされた。","As formigas-de-fogo fizeram um estrago aqui.","火蚁们把这里毁得很惨。"
"Luckily this drawbridge kept them out of the living quarters.","Generic ant","Luckily this drawbridge kept them out of the living quarters.","Zum Glück hat sie diese Zugbrücke vom Wohnbereich fern gehalten.","Zorionez, zubi altxagarri honi esker ezin izan dira bizitegira iritsi.","Per fortuna il ponte mobile le ha tenute lontane dagli alloggi.","Por suerte, el puente levadizo las mantuvo alejadas de los dormitorios.","К счастью, этот подъемный мост не дал им пробраться в жилые помещения.","この はねばしが あったおかげで、生活エリアは ぶじだった。","Por sorte, essa ponte levadiça manteve elas longe dos aposentos.","幸运的是，这座吊桥把他们挡在了生活区外面。"
"But they damaged the control mechanism, and now I'm stuck on the wrong side.","Generic ant","But they damaged the control mechanism, and now I'm stuck on the wrong side.","Aber der Kontrollmechanismus wurde beschädigt und jetzt stecke ich auf der falschen Seite fest.","Baina kontrol-mekanismoa hondatu dute, eta orain okerreko aldean harrapaturik nago.","Purtroppo hanno danneggiato il meccanismo, bloccandomi dal lato sbagliato.","Aunque dañaron el mecanismo de control y ahora estoy atrapada en el lado equivocado.","Но они повредили панель управления, и теперь я застряла на этой стороне.","でも はしの せいぎょそうちを こわされた。そのせいで、わたしは ここから うごけなくなっちゃったんだ。","Mas elas danificaram o mecanismo de controle, e acabei ficando presa do lado errado.","但是他们毁掉了控制装置，所以我被困在这个地方了。"
