"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"bulletin:13A","The new director is unsatisfied with the level of scrutiny afforded to foreigners.

From today forward, all foreign entrants must present a recent IDENTITY SUPPLEMENT listing weight, height, and appearance.

The rulebook DOCUMENTS chapter has been updated.","Zuzendari berria ez dago gustora atzerritarrei egiten zaien behaketaren zorroztasunarekin.

Gaurtik aurrera, sartu nahi duten atzerritar guztiek NORTASUN GEHIGARRI bat aurkezu beharko dute, norberaren pisua, garaiera eta itxura zehaztuz.

Arau-liburuaren DOKUMENTUAK atala eguneratu da."
"bulletin:14A","The Ministry of Justice has requested our support.

Daily bulletins will now contain a listing of the top 3 most wanted international criminals.

Check faces against entrants and detain suspects immediately.[PAGESNOTE]","Justizioa Ministerioak gure laguntza eskatu du.

Hemendik aurrera, eguneroko buletinak nazioarteko 3 gaizkile bilatuenen zerrenda jasoko du.

Egiaztatu gaizkileen argazkiak sarrera-eskatzaileekin eta atxilotu susmagarriak berehala.[PAGESNOTE]"
"bulletin:16A","The Ministry of Justice has appropriated the outer guard detail. 

You are now responsible for controlling trespasser activity.

The provided key can be used to unlock the tranquilizer gun once an alarm has been raised.

Continued...[PAGESNOTE]","Justizia Ministerioak kanpoko zaindariaren destakamendua kendu du. 

Orain zure ardura da baimenik gabe sartzen direnak kontrolatzea.

Alarma aktibatzen dutenean, eman zaizun giltza erabil dezakezu lasaigarridun erriflea desblokeatzeko.

Jarraitzen du...[PAGESNOTE]"
"bulletin:16B","__________________________
COMPENSATION

You will receive a bonus for stopping any trespasser. A smaller bonus is provided for firing on, but missing, your target.

__________________________
WEAPONS PROTOCOL

Review instructional diagram on following page.","__________________________
ORDAINSARIA

Aparteko saria jasoko duzu baimen gabe sartutako edonor geldiarazteagatik. Sari apalago bat emango zaizu tiroa jo baina huts egiten baduzu.

__________________________
ARMEN PROTOKOLOA

Aztertu hurrengo orriko jarraibideen diagrama."
"bulletin:18A","Unfavorable international press has affected immigration protocol.

All denials must be accompanied by a REASON FOR DENIAL stamp.

A new computer inking system has been installed. Interrogate discrepancies to prime the REASON FOR DENIAL stamp.

Continued...","Nazioarteko prentsak gure aurka hartutako jarrera dela-eta, immigrazio protokoloa aldatu da.

Sarrera ukatzean beti jarri beharko da UKATZEKO KAUSA azaltzen duen zigilua.

Konputagailu bidezko tinta-sistema berri bat instalatu da. Galdekatu diskrepantziei buruz UKATZEKO KAUSAren zigilua jarri baino lehen.

Jarraitzen du..."
"bulletin:18B","__________________________
DENIAL PROTOCOL

REASON FOR DENIAL stamp is activated on first interrogation.

When denying entry, stamp both DENIED and REASON FOR DENIAL on passport.

If applicant clarifies discrepancies sufficiently, approval is authorized even while REASON FOR DENIAL stamp remains available.","__________________________
SARRERA UKATZEKO PROTOKOLOA

UKATZEKO KAUSA zigilua aurreneko galdekatzean aktibatuko da.

Sarrera ukatzean, jarri pasaportean SARRERA UKATUA eta UKATZEKO KAUSA zigilu biak.

Eskatzaileak diskrepantziak behar bezala argitzen baditu, sarrera baimendu behar zaio UKATZEKO KAUSA zigilua eskuragarri egon arren."
"bulletin:19A","Impor rejects all imported goods from Arstotzka.

Under request from the Ministry of Trade, the Ministry of Admission will react to this violation.

Deny all travelers from Impor.","Imporrek Arstotzkako merkantzia guztien sarrera ukatzen du.

Merkataritza Ministerioaren eskariz, Onarpen Ministerioak urraketa honi erantzungo dio.

Ukatu sarrera Imporgo bidaiari guztiei."
"bulletin:20A","Impor has relented on their faulty policy.

Imporians are now permitted entry.

The divisional authority of East Grestin operations will visit again today.","Imporrek atzera bota du bere okerreko politika.

Importarrek orain sarrera baimenduta dute.

Hego Grestingo maniobren dibisioko agintaria gaur berriz etorriko da."
"bulletin:21A","A special program for political asylum has been established.

Those seeking asylum must carry a valid GRANT OF ASYLUM.

Entrants with such a grant do not require an ENTRY PERMIT or an ID SUPPLEMENT.","Asilo politikorako programa berezi bat jarri da abian.

Asilo bila datozenek baliozko ASILO AITORPENA erakutsi beharko dute.

Aitorpen hori duten eskatzaileek ez dute ONARPEN BAIMEN edo NORTASUN GEHIGARRIrik behar."
"bulletin:23A","Your position is important and your responsibilities are broad.

Follow all protocols strictly.","Zure postua garrantzitsua da, eta zure ardurak ugariak.

Jarraitu protokolo guztiak zorrozki."
"bulletin:24A","Recent events have cast suspicion on the activities of Arstotzkan citizens in the ALTAN district.

The Ministry of Information has requested our cooperation.

A special drawer for confiscating documents has been installed in your booth.

Continued...","Azkenaldiko gertaerek ALTAN barrutiko arstotzkarren jarduerak susmopean jarri dituzte.

Informazio Ministerioak gure lankidetza eskatu du.

Dokumentuak konfiskatzeko tiradera berezi bat instalatu da zure kabinan.

Jarraitzen du..."
"bulletin:24B","The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport.","Arau-liburua eguneratu da konfiskatze-politikari buruzko informazioarekin.

Konfiskatu ALTAN barrutian bizi diren arstotzkar guztien pasaporteak.

Bidaiariek sarrera baimendua izango dute pasaportea konfiskatu arren, beste arau-hausterik ez bada.

PASAPORTE KONFISKATZE tiketak emango zaizkie pasaporte gabe sarrera baimendu edo ukatzeko."
"bulletin:25A","United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Federazio Batuko herritarrek gaitz kutsakorrak zabal ditzakete.

Ukatu sarrera Federazio Batuko eskatzaileei.

Jarraitu ALTAN barrutiko arstotzkarren pasaporteak konfiskatzen."
"bulletin:26A","The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued...","Izurrite arriskua altuegia da. Protokolo berri bat zehaztu da.

Eskatzaile guztiek baliozko TXERTO ZIURTAGIRIA aurkeztu beharko dute, POLIO txertoa egunean dutelarik.

Betebehar honek bertakoak, atzerritarrak, diplomatikoak eta asilo eskatzaileak hartzen ditu bere baitan.

Jarraitzen du..."
"bulletin:26B","United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Federazio Batuko herritarrei sarrera baimenduko zaie ziurtagiri hau badute.

Jarraitu ALTAN barrutiko arstotzkarren pasaporteak konfiskatzen."
"bulletin:27A","In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued...","Eraginkortasuna gehitzeko, ONARPEN BAIMENA eta NORTASUN GEHIGARRIA elkartu dira SARRERA BAIMEN bakarra sortuz.

Atzerritarrek orain baliozko SARRERA BAIMENA aurkeztu beharko dute.

Jarraitzen du..."
"bulletin:27B","Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Atzoko eraso koordinatuak larrialdi-bilera baten beharra azaleratu du.

Kolechiako negoziatzaile garrantzitsu bat iritsiko da gaur kontrolgune honetara arazoari buruz eztabaidatzeko.

Jarraitu ALTAN barrutiko arstotzkarren pasaporteak konfiskatzen."
"bulletin:28A","In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports.","Etengabeko erasoei erantzuna emateko, Informazio Ministerioak pasaporteak konfiskatzeko programa hedatzea erabaki du.

Konfiskatu Arstotzka bertako bidaiarien pasaporte guztiak.

Ez dago salbuespenik.

Ez konfiskatu atzerritarren pasaporteak."
"bulletin:29A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] Gobernuko langile guztiei informazio auditatze oso bat egingo zaie. Baimendu gabeko taldeekin inplikaziorik duena berehala atxilotuko da.

Zure auditatzearen data: ABENDUAREN 24A

EZ IRTEN ESLEITU ZAIZUN LURRALDETIK.

Jarraitzen du..."
"bulletin:29B","Continue to confiscate all Arstotzkan passports from native entrants.","Jarraitu Arstotzkako eskatzaileen pasaporte guztiak konfiskatzen."
"bulletin:30A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] Gobernuko langile guztiei informazio auditatze oso bat egingo zaie. Baimendu gabeko taldeekin inplikaziorik duena berehala atxilotuko da.

Zure auditatzearen data: ABENDUAREN 24A

EZ IRTEN ESLEITU ZAIZUN LURRALDETIK.

Jarraitzen du..."
"bulletin:30B","Continue to confiscate all Arstotzkan passports from native entrants.","Jarraitu Arstotzkako eskatzaileen pasaporte guztiak konfiskatzen."
"bulletin:31A","The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued...","Onarpen Ministerioa kontrolgune honen itxiera aztertzen ari da.

Erabaki bat hartu bitartean, jarraitu zure betebeharrak agindu bezala burutzen.

Jarraitzen du..."
"bulletin:31B","You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants.","Bihar goizean informazio auditatze bat egingo zaizu.

EZ IRTEN ESLEITU ZAIZUN LURRALDETIK.

Jarraitu Arstotzka bertako bidaiarien pasaporteak konfiskatzen."
"facts","$paper: Invalid $fact","$paper: $fact ez da zuzena"
"facts","Missing $paper","$paper faltan"
"facts","$0 DISTRICT","$0 BARRUTIA"
"facts","Presence","Presentzia"
"facts","Sufficience","Nahikotasuna"
"facts","Excellence","Bikaintasuna"
"facts","Obristan","Obristan"
"facts","Antegria","Antegria"
"facts","Republia","Republia"
"facts","UnitedFed","FedBatua"
"facts","Impor","Impor"
"facts","Kolechia","Kolechia"
"facts","Arstotzka","Arstotzka"
"facts","Skal","Skal"
"facts","Lorndaz","Lorndaz"
"facts","Mergerous","Mergerous"
"facts","St. Marmero","St. Marmero"
"facts","Glorian","Glorian"
"facts","Outer Grouse","Outer Grouse"
"facts","True Glorian","Glorian Handia"
"facts","Lesrenadi","Lesrenadi"
"facts","Bostan","Bostan"
"facts","Great Rapid","Great Rapid"
"facts","Shingleton","Shingleton"
"facts","Korista City","Korista Hiria"
"facts","Enkyo","Enkyo"
"facts","Haihan","Haihan"
"facts","Tsunkeido","Tsunkeido"
"facts","Yurko City","Yurko Hiria"
"facts","Vedor","Vedor"
"facts","West Grestin","Ipar Grestin"
"facts","Orvech Vonor","Orvech Vonor"
"facts","East Grestin","Hego Grestin"
"facts","Paradizna","Paradizna"
"facts","Passport","Pasaportea"
"facts","Entry Ticket","Onarpen tiketa"
"facts","Entry Permit","Onarpen baimena"
"facts","Work Pass","Lanerako pasea"
"facts","Id Card","Nortasun agiria"
"facts","Id Supplement","Nortasun gehigarria"
"facts","Access Permit","Sarrera baimena"
"facts","Diplomatic Auth","Diplomazia baimena"
"facts","Asylum Grant","Asilo aitorpena"
"facts","Vaccine Cert","Txerto ziurtagiria"
"facts","Identity Record","Nortasun erregistroa"
"facts","Fingerprints","Hatz-markak"
"facts","Name","Izena"
"facts","Id Number","ID zenbakia"
"facts","Expiration Date","Iraungitze-data"
"facts","Issuing City","Hiri agirigilea"
"facts","Birth Date","Jaioteguna"
"facts","Alias","Aliasa"
"facts","Height","Garaiera"
"facts","Weight","Pisua"
"facts","Description","Deskribapena"
"facts","Thumbprint","Erpuru-marka"
"facts","Date","Data"
"facts","Purpose","Helburua"
"facts","Duration","Iraupena"
"facts","Face","Aurpegia"
"facts","District","Barrutia"
"facts","Gender","Sexua"
"facts","Work End Date","Laneko amaiera-data"
"facts","Altan","Altan"
"facts","Vescillo","Vescillo"
"facts","Burnton","Burnton"
"facts","Octovalis","Octovalis"
"facts","Gennistora","Gennistora"
"facts","Lendiforma","Lendiforma"
"facts","Wozenfield","Wozenfield"
"facts","Fardesto","Fardesto"
"facts","DENTISTRY","DENTISTA"
"facts","HEALTH-CARE","ERIZAINTZA"
"facts","GENERAL-LABOR","FABRIKAZIOA"
"facts","ENGINEERING","INGENIARITZA"
"facts","SPORTS","KIROLAK"
"facts","ARCHITECTURE","ARKITEKTURA"
"facts","FOOD-SERVICE","OSTALARITZA"
"facts","AVIATION","ABIAZIOA"
"facts","ACCOUNTING","KONTABILITATEA"
"facts","FISHING","ARRANTZA"
"facts","DRAFTING","DISEINUA"
"facts","RESEARCH","IKERKUNTZA"
"facts","FINE-ARTS","ARTE EDERRAK"
"facts","AGRICULTURE","NEKAZARITZA"
"facts","MANUFACTURING","FABRIKAZIOA"
"facts","CONSTRUCTION","ERAIKUNTZA"
"facts","SURVEYING","TASAZIOAK"
"facts","STATISTICS","ESTATISTIKAK"
"facts","POLIO","POLIOA"
"facts","HPV","GPB"
"facts","COWPOX","BAZTANGA"
"facts","TETANUS","TETANOSA"
"facts","YEL.FEV.","SUKAR HORIA"
"facts","CHOLERA","KOLERA"
"facts","RUBELLA","ERRUBEOLA"
"facts","HEP-B","B HEP."
"facts","MEASLES","ELGORRIA"
"facts","TUBERC.","TUBERK."
"facts","2 DAYS","2 EGUN"
"facts","14 DAYS","14 EGUN"
"facts","1 MONTH","HILABETE"
"facts","2 MONTHS","2 HILABETE"
"facts","3 MONTHS","3 HILABETE"
"facts","6 MONTHS","6 HILABETE"
"facts","1 YEAR","URTEBETE"
"facts","FOREVER","BETIKO"
"facts","visit","bisitaldia"
"facts","transit","igarotzea"
"facts","work","lana"
"facts","immigrate","immigratzea"
"facts","Possible Smuggler Admitted","Balizko kontrabandista onartua"
"facts","Missing documents","Dokumentuak faltan"
"facts","Wanted criminal admitted","Bilatutako gaizkilea onartua"
"facts","Incorrect purpose response","Okerreko helburua aitortua"
"facts","Incorrect visit duration response","Okerreko bisitaren iraupena emana"
"facts","Passport: Non-matching photo","Pasaportea: argazkia ez dator bat"
"facts","Forged Entry Permit","Faltsututako onarpen baimena"
"facts","Forged Work Pass","Faltsututako lanerako pasea"
"facts","Id Card: Non-matching photo","Nortasun agiria: argazkia ez dator bat"
"facts","Forged Access Permit","Faltsututako sarrera baimena"
"facts","No Diplomatic Access to Arstotzka","Ez du Arstotzkara sarbide diplomatikorik"
"facts","Forged Diplomatic Auth","Faltsututako diplomazia baimena"
"facts","Forged Asylum Grant Seal","Faltsututako zigilua asilo aitorpenean"
"facts","Necessary vaccine expired","Beharrezko txertoa iraungita"
"facts","Missing necessary vaccine","Beharrezko txertoa faltan"
"facts","Name does not match record","Izena ez dator bat erregistroarekin"
"facts","Alias does not match record","Aliasa ez dator bat erregistroarekin"
"facts","Fingerprints do not match record","Hatz-markak ez datoz bat erregistroarekin"
"facts","Cobrastan is not a real country","Cobrastan ez da benetako herrialde bat"
"facts","No entry from Antegria","Antegriarrak ezin dira sartu"
"facts","No entry from Arstotzka","Arstotzkarrak ezin dira sartu"
"facts","No entry from Republia","Republiarrak ezin dira sartu"
"facts","No entry from United Fed","Fed. Batukoak ezin dira sartu"
"facts","No entry from Obristan","Obristandarrak ezin dira sartu"
"facts","No entry from Impor","Importarrak ezin dira sartu"
"facts","No entry from Kolechia","Kolechiarrak ezin dira sartu"
"facts","Possible Terrorist Admitted","Balizko terrorista onartua"
"facts","Entrant Holds Conflicting Passports","Gatazka eskatzailearen pasaporteen artean"
"facts","Entrant must have a passport","Pasaportea beharrezkoa da"
"facts","Foreigners require an entry permit","Atzerrikoek onarpen baimena behar dute"
"facts","Foreigners require an entry ticket","Atzerrikoek onarpen tiketa behar dute"
"facts","All documents must be current","Iraungitako dokumenturik ez"
"facts","Workers must have a work pass","Langileek lanerako pasea behar dute"
"facts","Citizens must have an id card","Bertakoek N.A. izan behar dute"
"facts","Foreigners require an id supplement","Atzerrikoek nortas. gehigar. behar dute"
"facts","Arstotzkan citizens only","Arstotzkarrak soilik sar daitezke"
"facts","No entry from United Federation","Federazio Batukoak ezin dira sartu"
"facts","No weapons or contraband","Arma edo kontrabandorik ez"
"facts","All Kolechians must be searched","Kolechiar guztiak arakatu"
"facts","Diplomats require authorization","Diplomazialariek baimena behar dute"
"facts","Entrant must have polio vaccine cert","Polio txertoaren ziurt. beharrezkoa"
"facts","Asylum seekers must have a grant","Asilo eskatzaileek aitorpena behar dute"
"facts","Foreigners require an access permit","Atzerrikoek sarrera baimena behar dute"
"facts","CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS.","KONFISKATU ALTAN BARRUTIKO ARSTOTZKARREN PASAPORTEAK."
"facts","CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS.","KONFISKATU ARSTOTZKAR GUZTIEN PASAPORTEAK. SALBUESPENIK EZ."
"facts","Passport not confiscated","Pasaportea ez da konfiskatu"
"paper:SecondPassport","West Grestin","Ipar Grestin"
"paper:Rules","Basic Rules","Oinarrizko arauak"
"paper:Rules","Regional Map","Herrialdeen mapa"
"paper:Rules","Booth Info","Kabinaren infoa"
"paper:Rules","Documents","Dokumentuak"
"paper:Rules","Confiscation","Konfiskatzeak"
"paper:Rules","Obristan","Obristan"
"paper:Rules","Antegria","Antegria"
"paper:Rules","Republia","Republia"
"paper:Rules","United","Federazio"
"paper:Rules","Federation","Batua"
"paper:Rules","Impor","Impor"
"paper:Rules","Kolechia","Kolechia"
"paper:Rules","Arstotzka","Arstotzka"
"paper:Rules","ANTEGRIA","ANTEGRIA"
"paper:Rules","ARSTOTZKA","ARSTOTZKA"
"paper:Rules","IMPOR","IMPOR"
"paper:Rules","KOLECHIA","KOLECHIA"
"paper:Rules","OBRISTAN","OBRISTAN"
"paper:Rules","REPUBLIA","REPUBLIA"
"paper:Rules","UNITED FED.","FED. BATUA"
"paper:Rules","Id Card (Native)","N. agiria (bertakoak)"
"paper:Rules","Entry Permit","Onarpen baimena"
"paper:Rules","Id Supplement","Nortasun gehigarria"
"paper:Rules","Access Permit","Sarrera baimena"
"paper:Rules","Work Pass","Lanerako pasea"
"paper:Rules","Diplomatic Auth.","Diplomazia baimena"
"paper:Rules","Grant of Asylum","Asilo aitorpena"
"paper:Rules","Vaccine Cert.","Txerto ziurtagiria"
"intro","Congratulations.","Zorionak."
"intro","The October labor lottery is complete. Your name was pulled.","Urriko Enplegu Loteria jokatu da. Zure izena atera da."
"intro","For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint.","Lanari berehala ekiteko, aurkeztu Onarpen Ministerioan, Grestingo mugako kontrolgunean."
"intro","An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.","Apartamentu bat eskainiko zaio zure familiari Hego Grestinen. Zortzigarren klaseko etxebizitza bat."
"intro","Glory to Arstotzka.","Aintza Arstotzkari."
"end:in-debt","Arstotzka has zero tolerance for delinquency.","Arstotzkak ez du delinkuentziarik onartzen."
"end:in-debt","Your family will be sent back to their village.","Zure familia bere herrira itzuliko da."
"end:in-debt","You are under arrest until your debts are repaid.","Zu atxiloturik zaude dituzun zorrak ordaindu arte."
"end:in-debt","A replacement inspector will be found easily.","Ordezko ikuskatzaile bat erraz aurkituko da."
"end:in-debt","Glory to Arstotzka.","Aintza Arstotzkari."
"end:family-dead","Your entire family is gone.","Zure familia osoa hila da."
"end:family-dead","The Ministry Of Labor focuses on Arstotzka's future growth.","Lan Ministerioa Arstotzkaren etorkizuneko hazkuntzan zentratzen da."
"end:family-dead","Workers are expected to support large healthy families.","Langileek familia oparo eta osasuntsuak izatea espero da."
"end:family-dead","Your position will be filled by someone more appropriate.","Zure lanpostua pertsona egokiago batekin ordezkatuko da."
"end:family-dead","Glory to Arstotzka.","Aintza Arstotzkari."
"end:turned-over-ezic-docs","You are under arrest for associating with suspicious groups.","Atxiloturik zaude talde susmagarriekin harremana izateagatik."
"end:turned-over-ezic-docs","The Ministry of Information will perform a full audit of your recent activities.","Informazio Ministerioak zure azken jardueren auditatze oso bat burutuko du."
"end:turned-over-ezic-docs","Glory to Arstotzka.","Aintza Arstotzkari."
"end:caught-with-ezic-money","The Ministry of Income has discovered an anomaly in your earnings.","Irabazien Ministerioak irregulartasunak aurkitu ditu zure diru-sarreretan."
"end:caught-with-ezic-money","You are under arrest pending a full audit of your recent activities.","Atxiloturik zaude, zure azken jardueren auditatze oso bat egin bitartean."
"end:caught-with-ezic-money","Your family will likewise be held for questioning.","Zure familia ere atzemana izango da galdekatzeko."
"end:caught-with-ezic-money","The border will remain open under a replacement inspector.","Muga irekita mantenduko da, ordezko ikuskatzaile baten gidaritzapean."
"end:caught-with-ezic-money","Glory to Arstotzka.","Aintza Arstotzkari."
"end:killed-innocent","You are under arrest for the murder of an innocent.","Atxiloturik zaude errugabe bat erailtzeagatik."
"end:killed-innocent","The penalty is death.","Zigorra heriotza da."
"end:killed-innocent","Your family will be questioned about their involvement.","Zure familia galdekatuko da parte-hartzerik izan duten jakiteko."
"end:killed-innocent","The border will remain open under a replacement inspector.","Muga irekita mantenduko da, ordezko ikuskatzaile baten gidaritzapean."
"end:killed-innocent","Glory to Arstotzka.","Aintza Arstotzkari."
"end:tranqed-innocent","You are under arrest for attacking an innocent.","Atxiloturik zaude errugabe bati eraso egiteagatik."
"end:tranqed-innocent","The penalty is forced labor.","Zigorra bortxazko lana da."
"end:tranqed-innocent","Your family will be questioned about their involvement.","Zure familia galdekatuko da parte-hartzerik izan duten jakiteko."
"end:tranqed-innocent","The border will remain open under a replacement inspector.","Muga irekita mantenduko da, ordezko ikuskatzaile baten gidaritzapean."
"end:tranqed-innocent","Glory to Arstotzka.","Aintza Arstotzkari."
"end:killed-guard","You are under arrest for the murder of an Arstotzkan official.","Atxiloturik zaude Arstotzkako ofizial bat erailtzeagatik."
"end:killed-guard","The penalty is death.","Zigorra heriotza da."
"end:killed-guard","Your family will be questioned about their involvement.","Zure familia galdekatuko da parte-hartzerik izan duten jakiteko."
"end:killed-guard","The border will remain open under a replacement inspector.","Muga irekita mantenduko da, ordezko ikuskatzaile baten gidaritzapean."
"end:killed-guard","Glory to Arstotzka.","Aintza Arstotzkari."
"end:tranqed-guard","You are under arrest for attacking an Arstotzkan official.","Atxiloturik zaude Arstotzkako ofizial bati eraso egiteagatik."
"end:tranqed-guard","The penalty is death.","Zigorra heriotza da."
"end:tranqed-guard","Your family will be questioned about their involvement.","Zure familia galdekatuko da parte-hartzerik izan duten jakiteko."
"end:tranqed-guard","The border will remain open under a replacement inspector.","Muga irekita mantenduko da, ordezko ikuskatzaile baten gidaritzapean."
"end:tranqed-guard","Glory to Arstotzka.","Aintza Arstotzkari."
"end:killed-target","You are under arrest for the murder of an innocent.","Atxiloturik zaude errugabe bat erailtzeagatik."
"end:killed-target","The penalty is death.","Zigorra heriotza da."
"end:killed-target","Your family will be questioned about their involvement.","Zure familia galdekatuko da parte-hartzerik izan duten jakiteko."
"end:killed-target","The border will remain open under a replacement inspector.","Muga irekita mantenduko da, ordezko ikuskatzaile baten gidaritzapean."
"end:killed-target","Glory to Arstotzka.","Aintza Arstotzkari."
"end:killed-target","[A note appears from under the cell door]","[Ohar bat agertu da ziegako atepean]"
"end:killed-target","INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE","IKUSKATZAILE - FAMILIA SEGURU DAGO - HELBURUA EZABATUA DA BAINA ARAZO BERRIAK DAUDE"
"end:killed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","ORDEZKO IKUSKATZAILEA EZ DA KOOPERATIBOA - EZIC-EN JARDUERAK OZTOPATUAK"
"end:killed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","EZIN DUGU LAGUNTZA GEHIAGO ESKAINI - EZIC BERRIRO LOZORROAN"
"end:killed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","FAMILIA OBRISTANERA BIDALIKO DUGU - ZORTE ON"
"end:tranqed-target","You are under arrest for attacking an innocent.","Atxiloturik zaude errugabe bati eraso egiteagatik."
"end:tranqed-target","The penalty is forced labor.","Zigorra bortxazko lana da."
"end:tranqed-target","Your family will be questioned about their involvement.","Zure familia galdekatuko da parte-hartzerik izan duten jakiteko."
"end:tranqed-target","The border will remain open under a replacement inspector.","Muga irekita mantenduko da, ordezko ikuskatzaile baten gidaritzapean."
"end:tranqed-target","Glory to Arstotzka.","Aintza Arstotzkari."
"end:tranqed-target","[A note appears from under the cell door]","[Ohar bat agertu da ziegako atepean]"
"end:tranqed-target","INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL","IKUSKATZAILE - FAMILIA SEGURU DAGO - HELBURUA OSPITALEAN SUSPERTU DA"
"end:tranqed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","ORDEZKO IKUSKATZAILEA EZ DA KOOPERATIBOA - EZIC-EN JARDUERAK OZTOPATUAK"
"end:tranqed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","EZIN DUGU LAGUNTZA GEHIAGO ESKAINI - EZIC BERRIRO LOZORROAN"
"end:tranqed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","FAMILIA OBRISTANERA BIDALIKO DUGU - ZORTE ON"
"end:stuff-on-walls","You are under arrest for violating direct orders.","Atxiloturik zaude agindu zuzenak urratzeagatik."
"end:stuff-on-walls","The penalty is forced labor.","Zigorra bortxazko lana da."
"end:stuff-on-walls","Your family will be sent back to their village.","Zure familia bere herrira itzuliko da."
"end:stuff-on-walls","The border will remain open under a replacement inspector.","Muga irekita mantenduko da, ordezko ikuskatzaile baten gidaritzapean."
"end:stuff-on-walls","Glory to Arstotzka.","Aintza Arstotzkari."
"end:arrested-boss-buddy","Your supervisor has reported you for theft of Arstotzkan property.","Zure gainbegiraleak salatu zaitu Arstotzkako ondasunak lapurtzeagatik."
"end:arrested-boss-buddy","The penalty is forced labor.","Zigorra bortxazko lana da."
"end:arrested-boss-buddy","Your family will be sent back to their village.","Zure familia bere herrira itzuliko da."
"end:arrested-boss-buddy","The border will remain open under a replacement inspector.","Muga irekita mantenduko da, ordezko ikuskatzaile baten gidaritzapean."
"end:arrested-boss-buddy","Glory to Arstotzka.","Aintza Arstotzkari."
"end:wall-destroyed","The Grestin Border wall has been destroyed.","Grestingo mugako harresia suntsitu dute."
"end:wall-destroyed","You are under arrest for failure to defend the checkpoint.","Atxiloturik zaude kontrolgunea babestean huts egiteagatik."
"end:wall-destroyed","Your family will be sent back to their village.","Zure familia bere herrira itzuliko da."
"end:wall-destroyed","The border will reopen under a replacement inspector.","Muga berrirekiko da ordezko ikuskatzaile baten gidaritzapean."
"end:wall-destroyed","Glory to Arstotzka.","Aintza Arstotzkari."
"end:help-ezic-kill-attackers-wall-safe","Hello inspector.","Kaixo, ikuskatzaile."
"end:help-ezic-kill-attackers-wall-safe","We have audited your recent activities.","Zure azken jarduerak auditatu ditugu."
"end:help-ezic-kill-attackers-wall-safe","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Bere burua EZIC IZARRAREN ORDENA gisa izendatzen duen taldearekin duzun parte-hartzea argitara atera da."
"end:help-ezic-kill-attackers-wall-safe","Several members of this group have been arrested in Arstotzka.","Talde honetako hainbat kide atxilotu dituzte Arstotzkan."
"end:help-ezic-kill-attackers-wall-safe","At least one EZIC member has confessed to receiving your help.","Gutxienez EZICeko kide batek aitortu du zure laguntza jaso izana."
