Context Note (not to translate),Speaker,English,Japanese,Korean,Simplified Chinese,Russian,Italian,French,German,Portuguese,Spanish,Traditional Chinese,Polish,Norwegian,Basque,File name,Line number
,Mandolyn,"Don't worry, Geddy probably<nl>just has some thinking to do.",大丈夫よ。ゲディは少し、<nl>一人で考えたいだけ。,걱정 마. 게디는 아마<nl>잠시 생각이라도 하러 간 걸 거야.,别担心，Geddy也许<nl>只是有事。,"Не волнуйся, Гедди, наверное,<nl>просто хочет что-то обдумать.","Non preoccuparti, forse Geddy ha<nl>solo bisogno di pensarci un po' su.","No te preocupes, seguro que<nl>Geddy tenía que darle vueltas a algo.","Keine Sorge, Geddy braucht wohl<nl>nur etwas Zeit zum Denken.","Não se preocupe, o Geddy provavelmente<nl>só precisa pensar um pouco.","No te preocupes, seguro que<nl>Geddy tenía que darle vueltas a algo.",別擔心，Geddy也許<nl>只是有事。,"Nie martw się, chyba Geddy<nl>musi sobie przemyśleć kilka spraw.","Ikke bekymre deg for Geddy, <nl>han har sikkert bare mye å tenke på.","Ez kezkatu, Geddyk seguruenera<nl>hausnartu beharra dauka.",Vellie/mandolynCheck,728
,Mandolyn,You two are friends!,ふたりは友だちでしょ！,너희 둘은 친구잖아!,你们俩可是朋友！,Вы же друзья!,Voi due siete amici!,¡Sois amigos!,Ihr beide seid Freunde!,Vocês dois são amigos!,¡Sois amigos!,你們倆可是朋友！,Przecież jesteście przyjaciółmi!,"Dere er jo kompiser, tross alt!",Lagunak zarete!,Vellie/mandolynCheck,728
,Mandolyn,"Oh, you're looking for a way into Mesos?",あら、メソスへ行く方法を調べてるの？,메소스로 가는 방법을 알고 싶다고?,噢，你们在寻找进入Mesos的方法？,"О, ты ищешь путь в Мезос?","Oh, stai cercando un modo per arrivare a Mesos?","Oh, ¿estás buscando cómo ir a Mesos?","Oh, du willst nach Mesos gelangen?","Oh, você está tentando alcançar Mesos?","Oh, ¿estás buscando cómo ir a Mesos?",噢，你們在尋找進入Mesos的方法？,"Och, szukasz drogi do Mesos?","Å, dere leter etter en vei opp til Mesos!","Oi, Mesosera igotzeko bide baten bila zabiltza?",Vellie/mandolynCheck,734
,Mandolyn,"I don't know about that, but Bomboman might!",ボンボマンなら何かわかるかも！,"나는 잘 모르겠지만, 봄보맨이라면 알고 있지 않을까?",这我不太清楚，但Bomboman可能知道！,"Я про это ничего не знаю, а вот Бомбомен может знать!","Io non ne conosco nessuno, ma forse Bombo sì!","Yo no tengo ni idea, ¡pero Bomboman seguro que sí!","Damit kenne ich mich nicht aus, aber Bomboman vielleicht!","Não sei como, mas talvez o Bomboman sabe!","Yo no tengo ni idea, ¡pero Bomboman seguro que sí!",這我不太清楚，但Bomboman可能知道！,"Ja nic nie wiem, ale może Bomboman!","Jeg vet ikke hvordan dere kan komme<nl>dere dit, men Bomboman vet kanskje!","Nik ez dakit, baina agian Bombomanek ezagutuko du baten bat!",Vellie/mandolynCheck,739
,Mandolyn,His family lives in Mesos.,家族がメソスに住んでるから。,가족이 메소스에 있다고 들었거든.,他家就住在Mesos。,Его семья живет в Мезосе.,La sua famiglia vive lì.,Su familia vive en Mesos.,Seine Familie wohnt in Mesos.,A família dele vive em Mesos.,Su familia vive en Mesos.,他家就住在Mesos。,Jego rodzina mieszka w Mesos.,Familien hans bor der oppe!,Bere familia Mesosen bizi da.,Vellie/mandolynCheck,739
,Bomboman,"Hi, little Otus!",よお、オータス坊！,안녕 꼬마 오투스!,嗨，小Otus！,"Привет, крошка Отус!","Ciao, piccolo Otus!","Aupa, Otus txikia!","Hi, kleiner Otus!","Oi, pequeno Otus!","¡Hola, pequeño Otus!",嗨，小Otus！,"Witaj, mały Otusie!","Hei, lille Otus!","Aupa, Otus txikia!",Vellie/bomboCheck,20
,Bomboman,Looking for pirates?,海賊をさがしてんのか？,해적을 찾고 있는 거니?,在找海盗吗？,Ищешь пиратов?,Cerchi pirati?,Pirata bila?,Suchst du nach Piraten?,Está procurando os piratas?,¿Estás buscando piratas?,在找海盜嗎？,Szukasz piratów?,Ser du etter pirater?,Pirata bila?,Vellie/bomboCheck,20
,Bomboman,I think I seen some.,何人か見たぜ。,몇 놈을 보긴 했지.,我想我见过一些。,"Я, кажется, видел их.",Credo averne visto qualcuno.,Uste diat batzuk ikusi ditudala.,"Ich denke, ich habe welche gesehen.",Acho que vi alguns.,Creo que he visto algunos.,我想我見過一些。,Chyba kilku widziałem.,Jeg tror jeg har sett noen!,Uste diat batzuk ikusi ditudala.,Vellie/bomboCheck,20
,Bomboman,"Saw them west, at <b>lookout point<b>.",西の<b>見晴らし台<b>でな。,저기 서쪽에 있는 <b>전망대<b>에서 말이야.,西边，在<b>瞭望台<b>。,"На западе, у <b>наблюдательного пункта<b>.","Li ho visti a ovest, dalla <b>postazione di vedetta<b>.","Mendebaldean izan duk, <b>talaian<b>.","Sie waren im Westen, beim <b>Aussichtspunkt<b>.","Vi eles no oeste, no <b>ponto de vigia<b>.","Los vi al oeste, en el <b>punto de observación<b>.",西邊，在<b>瞭望台<b>。,"Na zachodzie, koło <b>czatowni<b>.","Ta en titt vestover, ved <b>utkikkspunktet<b>.","Mendebaldean izan duk, <b>talaian<b>.",Vellie/bomboCheck,37
,Bomboman,Maybe check it out.,調べてみ。,확인해보는 게 좋겠구나.,你该去那看看。,"Может, проверь.",Prova dare un'occhiata lì.,Agian egiaztatzera joan beharko huke.,Sieh dir das vielleicht mal an.,Talvez você devia conferir.,Prueba a echar un vistazo.,你該去那看看。,Lepiej to sprawdź.,Der tror jeg det kan være noe!,Agian egiaztatzera joan beharko huke.,Vellie/bomboCheck,37
,Bomboman,"Also, <30>there be <b>troublemaker<b> around village.",それと、<30>この村に<b>厄介者<b>がいやがる。,"아 그리고, <30>마을에 <b>난봉꾼<b>이 돌아다닌다고 하더라.",还有，<30>村庄周围有一些<b>捣蛋鬼<b>。,А еще <30>какой-то <b>бедокур<b> шляется по деревне.,"Ah,<30> e c'è <b>combinaguai<b> che gira per villaggio.","Bestetik, <30>herrian zehar <b>bazter-nahasle<b> bat zabilek.",Außerdem <30>gibt es einen <b>Unruhestifter<b> im Dorf.,"Além disso, <30>temos o tal <b>encrenqueiro<b> na vila.","Además, <30>hay un <b>alborotador<b> por el pueblo.",還有，<30>村莊周圍有一些<b>搗蛋鬼<b>。,Oprócz tego <30>jakiś <b>łobuz<b> kręci się koło wioski.,Også <30>er det en <b>trøbbelmaker<b> i landsbyen.,"Bestetik, <30>herrian zehar <b>bazter-nahasle<b> bat zabilek.",Vellie/bomboCheck,52
,Bomboman,"Is not you, <30>is it?",おまえじゃ...<30>ないよな？,"설마, <30>널 말하는 건 아니겠지?",不会是你吧，<30>小子？,"Это ведь не ты, <30>правда?","No sei tu, <30>vero?","Ez haiz hi izango, <30>ezta?","Aber das bist nicht du, <30>oder?","Não é você, <30>certo?","No eres tú, <30>¿verdad?",不會是你吧，<30>小子？,"I to nie jesteś ty, <30>prawda?",Er ikke deg vel?,"Ez haiz hi izango, <30>ezta?",Vellie/bomboCheck,52
,Bomboman,Somebody is stealing my bongos!,オレのボンゴが盗まれたんだ！,누가 내 봉고를 훔쳐갔다고!,有人在偷我的鼓！,Кто-то украл мои бонги!,Qualcuno sta rubando miei bonghi!,Norbaitek bongoak lapurtu zizkidak!,Jemand stiehlt mir meine Bongos!,Alguém está roubando os meus bongôs!,¡Alguien me está robando mis bongos!,有人在偷我的鼓！,Ktoś kradnie moje bębny bongo!,Det er en eller annen som stjeler trommene mine!,Norbaitek bongoak lapurtu zizkidak!,Vellie/bomboCheck,52
,Bomboman,Don't be slacking off now!,しっかり見張っといてくれよ！,게으름 피우지 마!,别偷懒！,"Не сачкуй, малыш!",Non stare là fermo!,Ez gelditu orain egonean!,Lass jetzt bloß nicht nach!,Não dá mole agora!,¡No te pares ahora!,別偷懶！,Nie odchodź teraz!,Ikke sløs med tid nå!,Ez gelditu orain egonean!,Vellie/bomboCheck,63
,Bomboman,"Hm, I think I need new bongos.",ふむ、ボンゴを新調すっかな。,"흠, 새로운 봉고를 구해봐야겠어.",嗯，我觉得我需要新的鼓。,"Хм, кажется, мне нужны новые бонги.","Mh, penso mi servano nuovi bonghi.","Mm, bongo berriak behar ditudala uste diat.","Hmm, ich glaube, ich brauche neue Bongos.","Hum, acho que preciso de uns bongôs novos.","Mmm, creo que necesito bongos nuevos.",嗯，我覺得我需要新的鼓。,"Hmm, myślę, że potrzebuję nowych bębnów.",Jeg trenger flere trommer.,"Mm, bongo berriak behar ditudala uste diat.",Vellie/bomboCheck,87
,Bomboman,Maybe I get some in <b>Advent<b>.,<b>アドヴェント<b>なら手に入るかもしれねえ！,<b>어드벤트<b>에 적당한 게 있겠지?,也许我能在<b>Advent<b>搞到一点。,"Может, в <b>Адвенте<b> достану.",Forse ne prendo qualcuno ad <b>Advent<b>.,Agian batzuk lortuko ditiat <b>Abendu<b>n.,Vielleicht bekomme ich welche in <b>Advent<b>.,Talvez consigo encontrar uns em <b>Advent<b>.,Igual consigo unos en <b>Adviento<b>.,也許我能在<b>Advent<b>搞到一點。,Może dostanę jakieś w <b>Advent<b>.,Kanskje jeg finner noen i <b>Advent<b>.,Agian batzuk lortuko ditiat <b>Abendu<b>n.,Vellie/bomboCheck,87
,Bomboman,Big bongos!,でっけぇボンゴがさ！,이왕이면 커다란 녀석이 좋은데 말이야!,大鼓！,Большие бонги!,Grandi bonghi!,Bongo handi batzuk!,Große Bongos!,Bongôs grandes!,¡Bongos grandes!,大鼓！,Wielkie bębny bongo!,Store trommer!,Bongo handi batzuk!,Vellie/bomboCheck,87
,Bomboman,Maybe little Otus will go there some day!,オータス坊もいつかあの街へ行けるかもな！,꼬마 오투스도 언젠간<nl>어드벤트에 갈 날이 오겠지!,也许小Otus有一天会去到那里！,"Может, малыш Отус когда-нибудь отправится туда!",Forse piccolo Otus andrà lì un giorno!,Agian Otus txikia hara joango duk noizbait!,Vielleicht geht der kleine Otus ja eines Tages dort hin!,Talvez o pequeno Otus irá lá um dia!,¡Quizás el pequeño Otus vaya allí algún día!,也許小Otus有一天會去到那裡！,Może mały Otus poleci tam któregoś dnia!,Kanskje lille Otus drar dit en dag?,Agian Otus txikia hara joango duk noizbait!,Vellie/bomboCheck,87
,Bomboman,"Life is full of music, Otus.",人生は音楽に満ちてるぜ、オータス。,"인생은 음악으로 가득하단다, 오투스.",生命中充满了音乐，Otus。,"Жизнь полна музыки, Отус.","Vita è ricca di musica, Otus.","Bizitza musikaz betea zagok, Otus.","Das Leben ist voller Musik, Otus!","A vida está cheia de música, Otus.","La vida está llena de música, Otus.",生命中充滿了音樂，Otus。,"Życie jest pełne muzyki, Otusie.","Livet er fullt av musikk, Otus.","Bizitza musikaz betea zagok, Otus.",Vellie/bomboCheck,111
,Bomboman,"All you need to do, <30>is stop and listen!",足を止めて<30>聴いてみな！,가끔은 <30>멈춰서 귀를 기울여봐!,你所要做的就是，<30>驻足倾听！,"Все, что нужно, — <30>остановиться и прислушаться!","Unica cosa che devi fare, <30>è fermare ad ascoltarla.","Egin behar duan bakarra, <30>gelditu eta entzutea duk!",Du musst einfach nur <30>innehalten und zuhören!,Tudo que você deve fazer <30>é parar e ouvir!,¡Solo tienes que pararte <30>y escuchar!,你所要做的就是，<30>駐足傾聽！,Trzeba tylko <30>zatrzymać się i posłuchać!,"Alt du trenger gjøre,<30> er å stoppe og lytte!","Egin behar duan bakarra, <30>gelditu eta entzutea duk!",Vellie/bomboCheck,111
,Bomboman,Like so!,そうさ！,이렇게 말이야!,就是这样！,Вот так!,Così!,Hala duk!,Nämlich so!,Assim!,¡Como lo oyes!,就是這樣！,Właśnie tak!,Som så!,Hala duk!,Vellie/bomboCheck,111
,Bomboman,That is my original song!,今のはオレのオリジナル曲！,내가 작곡한 곡이야!,那是我的原创歌曲！,Это моя песня!,Questa mia canzone originale!,Hau nire abesti originala duk!,Das ist mein eigenes Lied!,Esta é a minha música original!,¡Esta es mi canción original!,那是我的原創歌曲！,To moja oryginalna piosenka!,Det er min originale sang!,Hau nire abesti originala duk!,Vellie/bomboCheck,130
,Bomboman,A bombo song!,ボンボの歌だ！,이름하여 봄보송!,一首鼓曲！,Бомбо-песня!,Canzone di Bombo!,Bombo-abesti bat!,Ein Bombo-Lied!,Uma música bombo!,¡Una canción de bombo!,一首鼓曲！,Bombowa piosenka Bombo!,<b>Bombosang<b>!,Bombo-abesti bat!,Vellie/bomboCheck,130
,Bomboman,"Don't get distracted by my drums, Otus!",オレの太鼓にホレんなよ、オータス！,"내 북소리에 너무 빠지진 마, 오투스!",别因为我的鼓声分心了，Otus！,"Не отвлекайся на мои барабаны, Отус!","Non farti distrarre da tamburi, Otus!","Ez deskuidatu nire danborrekin, Otus!","Lass dich nicht von meinen Trommeln ablenken, Otus!","Não se distraia com os tambores, Otus!","¡No te distraigas con mis tambores, Otus!",別因為我的鼓聲分心了，Otus！,"Otusie, dobrze by było, gdyby moje bębny nie rozproszyły twojej uwagi!","Har ikke tid å tromme hele dagen, Otus!","Ez deskuidatu nire danborrekin, Otus!",Vellie/bomboCheck,152
,Bomboman,You have job to do!,まだ仕事中だろ！,해야할 일이 있잖니!,你还有事情要做！,У тебя полно дел!,Hai lavoro da fare!,Egin beharreko lanak dituk!,Du hast eine Aufgabe zu erfüllen!,Você tem uma tarefa em mãos!,¡Tienes trabajo que hacer!,你還有事情要做！,Masz zadanie do wykonania!,Du har en jobb å gjøre!,Egin beharreko lanak dituk!,Vellie/bomboCheck,152
,Bomboman,"...Alright, I play my Bombo song again for you.",...わかったよ、ならもう一曲だけな！,…알겠어. 특별히 한 번 더 봄보송을 연주해줄게.,……好吧，我就为你再次演奏我的鼓曲吧。,"...Ну ладно, сыграю тебе свою бомбо-песню еще раз.","… Va bene, io suona di nuovo canzone di Bombo.","...Ongi duk, nire Bombo-abestia joko diat berriro hiretzat.","... okay, ich spiele mein Bombo-Lied nochmal für dich.","... Certo, vou tocar a minha música Bombo para você novamente.","... Vaaale, tocaré otra vez para ti mi canción.",……好吧，我就為你再次演奏我的鼓曲吧。,"...No dobrze, zagram ci jeszcze raz moją piosenkę Bombo.","...OK, jeg spiller <b>Bombosangen<b> igjen.","...Ongi duk, nire Bombo-abestia joko diat berriro hiretzat.",Vellie/bomboCheck,161
,Bomboman,There you go. Song for you!,どうだい、おまえの曲さ！,"자, 잘 들었지?",听好了。献给你的歌！,Вот так. Песня для тебя!,Ecco. Canzone per te!,Horra. Hiretzat zuzenean!,Bitte sehr! Ein Lied für dich!,Aqui vai. Uma música para você!,Vamos allá. ¡Canción para ti!,聽好了。獻給你的歌！,Bardzo proszę. Piosenka dla ciebie!,Værsågod! Sangen er til deg!,Horra. Hiretzat zuzenean!,Vellie/bomboCheck,174
,Bomboman,Now back to work!,さ、仕事に戻んな！,다 들었으면 그만 일하러 가렴!,现在回去工作吧！,Теперь за работу!,Ora torna a lavoro!,"Orain, bueltatu lanera!",Nun zurück an die Arbeit!,"Agora, de volta ao trabalho!","¡Ahora, vuelta al trabajo!",現在回去工作吧！,A teraz bierz się z powrotem do pracy!,Tilbake til arbeid nå!,"Orain, bueltatu lanera!",Vellie/bomboCheck,174
,Bomboman,"Listen to the beat, Otus man!",ビートを聴くんだ、オータス！,"박자를 느껴보렴, 오투스!",听听这节奏，Otus伙计！,"Слушай ритм, Отус!","Ascolta il ritmo, amico Otus!","Entzun erritmoa, Otus jauna!","Hör auf den Rhythmus, Otus!","Ouça a batida, mano Otus!","¡Escucha el ritmo, amigo Otus!",聽聽這節奏，Otus夥計！,"Otusie, posłuchaj tego rytmu!","Hør på rytmen, Otus mann!","Entzun erritmoa, Otus jauna!",Vellie/bomboCheck,200
,Bomboman,Bom bom bom!,ボンボンボン！,둥 둥 둥!,磅磅磅！,Бом-бом-бом!,Bom bom bom!,Bom bom bom!,Bomm bomm bomm!,Bom bom bom!,¡Bom bom bom!,磅磅磅！,Bom bom bom!,Bom bom bom!,Bom bom bom!,Vellie/bomboCheck,200
,Bomboman,Feel the rhythm.,リズムを感じな。,리듬을 느껴보렴.,感受韵律。,Почувствуй ритм.,Segui il ritmo.,Sentitu errtimoa.,Spüre den Rhythmus!,Sinta o ritmo.,Siente el ritmo.,感受韻律。,Poczuj rytm.,Føl rytmen!,Sentitu errtimoa.,Vellie/bomboCheck,200
,Bomboman,There you go. Song for you!,どうだい、おまえの曲さ！,"자, 잘 들었지?",听好了。献给你的歌！,Вот так. Песня для тебя!,Ecco. Canzone per te!,Horra. Hiretzat zuzenean!,Bitte sehr! Ein Lied für dich!,Aqui vai. Uma música para você!,Vamos allá. ¡Canción para ti!,聽好了。獻給你的歌！,Bardzo proszę. Piosenka dla ciebie!,"Der, værsågod. Sangen er din!",Horra. Hiretzat zuzenean!,Vellie/bomboCheck,216
,Bomboman,Otus look sad.,沈んでるな、オータス。,"왠지 슬퍼 보이네, 오투스.",Otus看起来很伤心。,Отус грустный.,Otus sembra triste.,Otusek goibel zirudik.,Otus sieht traurig aus.,Otus parece triste.,Otus parece triste.,Otus看起來很傷心。,Otus wygląda smutno.,Otus ser trist ut.,Otusek goibel zirudik.,Vellie/bomboCheck,247
,Bomboman,Do something wrong again?,またヘマしちまったか？,또 뭔가를 잘못한 거니?,又出了什么事吗？,"Что стряслось, малыш?",Fatto qualcosa di sbagliato di nuovo?,Gauza txarrik egin duk berriz?,Wieder was falsch gemacht?,Fez algo errado outra vez?,¿Algo malo otra vez?,又出了什麼事嗎？,Znowu coś nie tak?,Gjort noe galt igjen?,Gauza txarrik egin duk berriz?,Vellie/bomboCheck,247
,Bomboman,Drum a song to make Otus feel better.,太鼓を聞けば気分もアガるぜ。,"오투스, 그래도 한 곡 들으면 좀 나아질 거야.",奏一首曲子让Otus开心起来。,"Ударная песня, чтобы взбодрить Отуса.",Suonerò canzone per far sentire meglio Otus.,Abesti bat joko diat Otus hobeto sentitzeko.,Ein getrommeltes Lied muntert Otus auf!,Toco uma música para que o Otus se sinta melhor.,Voy a tocar una canción para que Otus se sienta mejor.,奏一首曲子讓Otus開心起來。,"Wybębnij piosenkę, żeby Otus poczuł się lepiej.",Jeg trommer en sang for at Otus skal føle seg bedre.,Abesti bat joko diat Otus hobeto sentitzeko.,Vellie/bomboCheck,265
,Bomboman,There you go. Song for you!,どうだい！オータスの歌だ！,"자, 잘 들었지?",听好了。献给你的歌！,Вот так. Песня для тебя!,Ecco. Canzone per te!,Horra. Hiretzat zuzenean!,Bitte sehr! Ein Lied für dich!,Aqui vai. Uma música para você!,Vamos allá. ¡Canción para ti!,聽好了。獻給你的歌！,Bardzo proszę. Piosenka dla ciebie!,Værsågod! Sangen er din!,Horra. Hiretzat zuzenean!,Vellie/bomboCheck,279
,Bomboman,Keep spirits up!,元気だせよな！,기운 내렴!,提起精神来！,Выше нос!,Tiene alto lo spirito!,Gora bihotzak!,Immer positiv bleiben!,Continue animado!,¡Arriba ese ánimo!,提起精神來！,Uszy do góry!,Hold motet oppe!,Gora bihotzak!,Vellie/bomboCheck,279
,Bomboman,"Hurry, little Otus!",急げ、オータス坊！,"서두르렴, 꼬마 오투스!",快点，小Otus！,"Скорей, крошка Отус!","Svelto, piccolo Otus!","Arin, Otus txikia!","Schnell, kleiner Otus!","Rápido, pequeno Otus!","¡Corre, pequeño Otus!",快點，小Otus！,"Pośpiesz się, mały Otusie!","Kjappe, lille Otus!","Arin, Otus txikia!",Vellie/bomboCheck,300
,Bomboman,Must chase troublemaker!,厄介者を追うんだ！,어서 난봉꾼을 뒤쫓아야지!,必须追上捣蛋鬼！,Надо догнать бедокура!,Devi inseguire combinaguai!,Hoa bazter-nahaslearen atzetik!,Dem Unruhestifter nach!,Você deve caçar o encrenqueiro!,¡Ve a por el alborotador!,必須追上搗蛋鬼！,Trzeba gonić łobuza!,Jag bråkmakeren!,Hoa bazter-nahaslearen atzetik!,Vellie/bomboCheck,300
,Bomboman,"Bomboman would go, but<nl>can't fly on my own!",オレは行けない！<nl>飛べねえからな！,"이 봄보맨도 가고 싶지만,<nl>날 수가 없으니 말이다.",Bomboman想去追，但是<nl>自己不会飞！,"Бомбомен бы сам за ним погнался,<nl>но я летать не умею!","Lo farebbe Bombo, ma io non volo!","Bomboman joango lukek, baina<nl>etzekik hegan egiten!","Bomboman würde ja selbst, aber<nl>er kann nicht allein fliegen!","Bomboman iria também, mas não<nl>consigo voar sozinho!","Bomboman iría, ¡pero<nl>no puedo volar solo!",Bomboman想去追，但是<nl>自己不會飛！,"Bomboman by poleciał,<nl>ale nie potrafi latać!","Bomboman ville tatt fyren, men jeg kan ikke fly!","Bomboman joango lukek, baina<nl>etzekik hegan egiten!",Vellie/bomboCheck,300
,Bomboman,Counting on you!,おまえが頼りだ！,기다리고 있을게!,靠你了！,Вся надежда на тебя!,Conto su di te!,Hirekin naukak!,Er zählt auf dich!,Contando com você!,¡Cuento contigo!,靠你了！,Liczę na ciebie!,Jeg satser på deg!,Hirekin naukak!,Vellie/bomboCheck,300
,Bomboman,Mmmm...,ふむ...,으으으음…,嗯……,Мм-м-м...,Mmmmm...,Mmmm...,Mmmm ...,Hummm...,Mmm...,嗯……,Mmmm...,Mmmm...,Mmmm...,Vellie/bomboCheck,325
,Bomboman,You going to Advent now?,アドヴェントへ行くのか？,어드벤트에 가는 거냐?,你现在要去Advent？,Собираешься в Адвент?,Vai ad Advent ora?,Orain Abendura zoazte?,Gehst du jetzt nach Advent?,Você vai para Advent agora?,¿Vas a Adviento ahora?,你現在要去Advent？,Wyruszasz teraz do Advent?,Du drar til Advent nå?,Orain Abendura zoazte?,Vellie/bomboCheck,325
,Bomboman,Bom bom bom!,幸運を祈るぜ、オータス坊。,"행운을 빌게, 꼬마 오투스.",磅磅磅！,Бом-бом-бом!,"Buona fortuna, Otus.",Bom bom bom!,Bomm bomm bomm!,Bom bom bom!,¡Bom bom bom!,磅磅磅！,Bom bom bom!,Bom bom bom!,Bom bom bom!,Vellie/bomboCheck,325
,Bomboman,"Remember, Asio is harsh, but he means well.",忘れるな、アシオのきびしさは愛のムチさ。,"기억하렴. 아시오가 말은 까칠하지만,<nl>나쁜 뜻으로 그러는 게 아니야.",记住，Asio很严厉，但他本意是好的。,"Не забывай, Азио суров, но он желает добра.","Ricorda, Asio è severo,<nl>ma ha buone intenzioni.","Gogoan izan, Asio gogorra duk, baina bihotz onekoa.","Vergiss nicht, dass Asio zwar schroff ist, aber es gut meint!","Não se esqueça, o Asio é grosso, mas ele tem boas intenções.","Recuerda, Asio es duro, pero tiene buenas intenciones.",記住，Asio很嚴厲，但他本意是好的。,"Pamiętaj, Asio jest surowy, ale chce dobrze.","Husk, Asio er streng, men han mener godt.","Gogoan izan, Asio gogorra duk, baina bihotz onekoa.",Vellie/bomboCheck,325
,Bomboman,"You two will stop the pirates,<nl>Bomboman knows it.",おまえたちなら海賊を止められる。<nl>ボンボマンにはわかる。,너희 둘은 분명 해적들을 막아낼 수 있을 거야.<nl>이 봄보맨이 장담할게.,你们两个会阻止海盗的，<nl>Bomboman就是知道。,"Вы вдвоем остановите пиратов,<nl>Бомбомен знает.",Voi due fermerete pirati.<nl>Bombo è sicuro.,"Zuok biok geldiaraziko dituzue piratak, <nl>Bombomanek badaki.","Ihr zwei werdet die Piraten aufhalten,<nl>Bomboman ist sich sicher!","Vocês dois vão impedir os piratas,<nl>Bomboman tem certeza.","Los dos detendréis a los piratas,<nl>Bomboman está seguro.",你們兩個會阻止海盜的，<nl>Bomboman就是知道。,"Wy dwaj powstrzymacie piratów,<nl>Bomboman to wie.","Dere to stopper piratene, Bomboman vet det!","Zuok biok geldiaraziko dituzue piratak, <nl>Bombomanek badaki.",Vellie/bomboCheck,325
,Bomboman,Then Vellie will be safe.,そしてヴェリーに平和がもどるってな。,너희들 덕에 벨리는 안전해질 거야.,然后Vellie就会迎来和平。,И тогда в Веллье будет покой.,E poi Vellie sarà salva.,Eta Vellie salbu izango da berriz.,Vellie wird dann sicher sein.,E depois Vellie ficará segura.,Y Vellie estará a salvo.,然後Vellie就會迎來和平。,Wtedy Vellie będzie bezpieczne.,Da blir Vellie trygg.,Eta Vellie salbu izango da berriz.,Vellie/bomboCheck,325
,Bomboman,So little Otus is going to Advent...,さて、アドヴェントへ旅立つオータス坊に...,그 꼬마 오투스가 어드벤트로 가는 날이 오다니…,小Otus要到Advent去了……,"Значит, малыш Отус собрался в Адвент...",Quindi piccolo Otus va ad Advent...,"Beraz, Otus txikia Abendura zihoak...",Der kleine Otus geht also nach Advent ...,Então o pequeno Otus vai para Advent...,Así que el pequeño Otus va a Adviento...,小Otus要到Advent去了……,Tak więc mały Otus leci do Advent...,Så lille Otus drar til Advent...,"Beraz, Otus txikia Abendura zihoak...",Vellie/bomboCheck,349
,Bomboman,I'll play song for good luck!,幸運の歌をささげよう！,행운의 곡을 연주해줄게!,我会为你演奏一曲，祝你好运！,Я сыграю тебе песню на дорожку!,Suono canzone per buona fortuna!,Zorte oneko abestia joko diat!,Ich spiele ein Lied als Glücksbringer!,Tocarei uma música para dar sorte!,¡Voy a tocar la canción de la suerte!,我會為你演奏一曲，祝你好運！,Zagram piosenkę na szczęście!,"Jeg spiller en sang, for lykke!",Zorte oneko abestia joko diat!,Vellie/bomboCheck,349
,Bomboman,There you go!,どうだい！,어때?,听好了！,Вот так!,Ecco qua!,Horra!,Bitte sehr!,Aqui vai!,¡Vamos allá!,聽好了！,Bardzo proszę!,Værsågod!,Horra!,Vellie/bomboCheck,363
,Bomboman,Hm... Maybe I should make new one soon.,ふむ...新曲を作らねえとダメかな。,흠… 신곡을 만들까 생각 중이야.,嗯……也许我应该尽快创作一首新歌。,"Гм... Может, пора придумать новую.",Mh... Forse dovrei farne una nuova.,Mmm... Tal vez debería componer una nueva pronto.,Hmm ... Vielleicht sollte ich bald ein neues Lied schreiben.,Hum... Talvez deveria compor uma nova logo.,Mmm... Tal vez debería componer una nueva pronto.,嗯……也許我應該儘快創作一首新歌。,Hmm... Może powinienem ułożyć nową.,Hm... Kanskje jeg skal lage ny sang snart.,Mm... Agian abesti berri bat sortu beharko nikek.,Vellie/bomboCheck,363
,Bomboman,"Glad to see you safe, little Otus.",無事でよかったぜ、オータス坊。,"무사한 걸 보니 다행이야, 꼬마 오투스.",真高兴看到你平安无事，小Otus。,"Рад, что ты жив-здоров, малыш Отус.","Contento di vedere che sei salvo, piccolo Otus.","Me alegro de verte a salvo, pequeño Otus.","Schön, dass du in Ordnung bist, kleiner Otus.","Que bom ver que você está em segurança, pequeno Otus.","Me alegro de verte a salvo, pequeño Otus.",真高興看到你平安無事，小Otus。,"Miło cię widzieć całego i zdrowego, mały Otusie.","Glad du er trygg, lille Otus.","Pozten naik zu onik ikusteak, Otus txikia.",Vellie/bomboCheck,383
,Bomboman,Heard you were very brave in Advent.,アドヴェントでは立派に戦ったらしいが...,어드벤트에서 아주 용감했다는 소문이 퍼졌던데.,听说你在Advent非常英勇。,"Слышал, ты очень храбро себя вел в Адвенте.",Ho sentito che sei stato coraggioso ad Advent.,He oído que fuiste muy valiente en Adviento.,"Hab gehört, du warst in Advent sehr mutig.",Ouvi dizer que você foi muito corajoso em Advent.,He oído que fuiste muy valiente en Adviento.,聽說你在Advent非常英勇。,Podobno w Advent byłeś bardzo dzielny.,Hørte du var veldig modig i Advent.,Entzun diat Abendun oso ausarta izan hintzela.,Vellie/bomboCheck,383
,Bomboman,Don't push yourself too hard.,がんばりすぎねえこった。,너무 무리하지는 마.,别把自己逼得太紧了。,Не надрывайся.,Non essere severo con te stesso.,No te esfuerces demasiado.,Übertreib es nicht!,Não se esforce demais.,No te esfuerces demasiado.,別把自己逼得太緊了。,"Pamiętaj, żeby nie wymagać od siebie zbyt wiele.",Ikke slit deg ut.,Ez behartu hire burua gehiegi.,Vellie/bomboCheck,383
